"","id","msoa1","msoa2","geo_label1","geo_label2","all","bicycle","foot","car_driver","car_passenger","train","light_rail","bus","taxi","motorbike","other","clc","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","dist","dist_fast","dist_quiet","cirquity","distq_f","avslope","avslope_q","time_fast","time_quiet"
"1","E02000984 E02000985","E02000984","E02000985","Bolton 001","Bolton 002",5293,75,3949,1190,0,0,0,79,0,0,0,1.41697,297.45999,222.46001,3780.6399,1139.27,-50.73,154.78,79.78,3888.71,1171.9,-18.1,1654.1899,1579.1899,2753.8,829.78998,-360.20999,2221.8,2146.8,2324.24,700.34998,-489.64999,0.02111,-39173,0.01581,-29334,0.0093,-17256,0.004,-7417,0.13394,-248498,0.12864,-238659,0.28295,-524959,0.27765,-515120,-7506,-5622,-3890,-2006,-41816,-39932,-56165,-54281,2.12409,2.178,2.178,1.02538,1,2.98439,2.98439,858,858
"2","E02000984 E02000986","E02000984","E02000986","Bolton 001","Bolton 003",3052,38,2474,501,0,0,0,39,0,0,0,1.24509,121.68,83.68,2405.3201,487.07999,-13.92,61.94,23.94,2454.5601,496.79999,-4.2,691.65002,653.65002,1937.1899,392.62,-108.38,1117.29,1079.29,1587.86,321.82001,-179.17999,0.0107,-19854,0.00743,-13782,0.00473,-8781,0.00146,-2709,0.0691,-128196,0.06582,-122124,0.16254,-301569,0.15927,-295497,-2236,-1512,-1180,-456,-12501,-11777,-20195,-19471,1.46249,2.069,2.352,1.41471,1.13678,4.88159,6.59014,1116,1596
"3","E02000984 E02000987","E02000984","E02000987","Bolton 001","Bolton 004",73,1,1,71,0,0,0,0,0,0,0,1.36986,1.72,0.72,0.99,70.29,-0.71,1.8,0.8,1,70.2,-0.8,3.67,2.67,0.95,68.38,-2.62,11.07,10.07,0.85,61.08,-9.92,-0.0014,2589,-0.00058,1072,-0.00128,2377,-0.00046,860,-0.00297,5511,-0.00215,3994,-0.00612,11356,-0.0053,9839,-968,-400,-1022,-454,-2053,-1485,-6192,-5624,7.84464,11.101,11.721,1.41511,1.05585,3.89154,4.59005,6056,7352
"4","E02000984 E02000988","E02000984","E02000988","Bolton 001","Bolton 005",3645,35,2309,1248,0,0,0,53,0,0,0,0.96022,146.8,111.8,2237.6499,1209.1899,-38.81,64.69,29.69,2290.5801,1237.14,-10.86,851.19,816.19,1787.41,965.35999,-282.64001,1363.09,1328.09,1459.79,788.60999,-459.39001,0.00713,-13227,0.00571,-10601,0.00227,-4204,0.00085,-1578,0.0523,-97024,0.05088,-94398,0.17699,-328375,0.17558,-325749,-8160,-6212,-3600,-1652,-47303,-45355,-75746,-73798,2.34687,3.289,3.702,1.40144,1.12557,3.67893,5.26742,1530,2202
"5","E02000984 E02000989","E02000984","E02000989","Bolton 001","Bolton 006",1543,29,889,592,0,0,0,33,0,0,0,1.87946,79.78,50.78,859.17999,572.15002,-19.85,75.15,46.15,860.96997,574.71002,-17.29,349.04999,320.04999,701.12,466.81,-125.19,561.48999,532.48999,576.38,383.75,-208.25,0.00339,-6290,0.00213,-3952,0.00306,-5682,0.0018,-3344,0.01883,-34926,0.01757,-32588,0.08569,-158987,0.08443,-156649,-7469,-4763,-6854,-4148,-32742,-30036,-52670,-49964,3.94702,4.713,4.738,1.19407,1.0053,2.97051,2.95483,2240,2246
"6","E02000984 E02000990","E02000984","E02000990","Bolton 001","Bolton 007",573,3,12,556,0,0,0,2,0,0,0,0.52356,8.96,5.96,11.88,550.19,-5.81,4.67,1.67,11.97,554.35999,-1.64,30.94,27.94,11.41,528.76001,-27.24,90.55,87.55,10.16,470.60001,-85.4,-0.00704,13066,-0.00468,8678,-0.0033,6120,-0.00093,1732,-0.02437,45218,-0.02201,40830,-0.0471,87390,-0.04474,83002,-4869,-3230,-2553,-914,-16775,-15136,-49090,-47451,7.69623,10.914,11.534,1.4181,1.05681,3.87576,4.58644,6000,7296
"7","E02000984 E02000991","E02000984","E02000991","Bolton 001","Bolton 008",792,8,547,229,0,0,0,8,0,0,0,1.0101,26.5,18.5,534.09003,223.59,-5.41,13.87,5.87,542.96997,227.25,-1.75,134.33,126.33,458.79999,192.13,-36.87,253.53,245.53,375.64999,157.31,-71.69,0.00303,-5625,0.00216,-4005,0.00133,-2462,0.00045,-842,0.01815,-33668,0.01727,-32048,0.0603,-111874,0.05943,-110254,-1902,-1320,-1009,-427,-9586,-9004,-18091,-17509,3.43809,4.739,6.205,1.37838,1.30935,3.88268,4.64142,2662,3874
"8","E02000984 E02000993","E02000984","E02000993","Bolton 001","Bolton 010",1665,34,1144,444,0,0,0,43,0,0,0,2.04204,112.47,78.47,1088.96,422.64001,-21.36,56.33,22.33,1128.4399,437.91,-6.09,510.01001,476.01001,810.10999,314.42001,-129.58,697.53003,663.53003,678.59003,263.37,-180.63,0.01173,-21757,0.00819,-15191,0.00515,-9549,0.00161,-2983,0.06143,-113965,0.05789,-107399,0.1454,-269766,0.14186,-263200,-6535,-4560,-3273,-1298,-29637,-27662,-40534,-38559,3.50813,4.237,4.442,1.20777,1.04838,2.52537,2.5439,1778,2010
"9","E02000984 E02000994","E02000984","E02000994","Bolton 001","Bolton 011",1124,11,716,376,0,0,0,21,0,0,0,0.97865,41.09,30.09,696.59998,365.85999,-10.14,18.02,7.02,711.60999,373.54999,-2.45,219.92999,208.92999,581.12,305.69,-70.31,385.92001,374.92001,474.44,249.56,-126.44,0.00286,-5308,0.0022,-4072,0.00097,-1795,3e-04,-559,0.01911,-35462,0.01845,-34226,0.06891,-127847,0.06824,-126611,-3057,-2218,-1375,-536,-16231,-15392,-28522,-27683,3.37367,4.238,5.504,1.2562,1.29873,3.51581,4.70567,2222,3214
"10","E02000984 E02000995","E02000984","E02000995","Bolton 001","Bolton 012",317,2,109,193,0,0,0,13,0,0,0,0.63091,9.26,7.26,106.49,188.55,-4.45,3.77,1.77,108.41,191.88,-1.12,48.85,46.85,92.76,164.33,-28.67,94.59,92.59,76.94,136.3,-56.7,-0.00185,3422,-0.00143,2655,-0.00067,1247,-0.00026,480,-0.00935,17337,-0.00893,16570,-0.00269,4987,-0.00228,4220,-1763,-1374,-733,-344,-9248,-8859,-17910,-17521,4.3949,6.022,7.281,1.37022,1.20907,3.52043,4.36753,3392,5538
"11","E02000984 E02000996","E02000984","E02000996","Bolton 001","Bolton 013",326,2,129,186,0,0,0,9,0,0,0,0.6135,10.81,8.81,125.49,180.94,-5.06,2,0,129,186,0,58.04,56.04,106.69,153.83,-32.17,103.89,101.89,88.43,127.51,-58.49,-0.0017,3149,-0.00138,2561,-0.00032,588,0,0,-0.00857,15908,-0.00826,15320,0.00149,-2770,0.00181,-3358,-1904,-1552,-352,0,-10224,-9872,-18301,-17949,4.83574,6.066,6.319,1.25441,1.04171,3.19815,3.13341,3066,3420
"12","E02000984 E02000997","E02000984","E02000997","Bolton 001","Bolton 014",399,0,25,373,0,0,0,1,0,0,0,0,5.38,5.38,24.66,367.97,-5.03,0,0,25,373,0,28.12,28.12,23.23,346.72,-26.28,72.24,72.24,20.47,305.47,-67.53,-0.00395,7325,-0.00395,7325,0,0,0,0,-0.02065,38314,-0.02065,38314,-0.03358,62305,-0.03358,62305,-2720,-2720,0,0,-14221,-14221,-36541,-36541,7.0695,10.396,11.039,1.47054,1.06185,3.94382,4.78304,5668,7018
"13","E02000984 E02000998","E02000984","E02000998","Bolton 001","Bolton 015",892,5,348,535,0,0,0,4,0,0,0,0.56054,29.17,24.17,338.51999,520.41998,-14.58,9.33,4.33,346.32999,532.35999,-2.64,162.97,157.97,286,439.73999,-95.26,290.16,285.16,236.10001,363.01999,-171.98,-0.00387,7179,-0.00319,5914,-0.0011,2041,-0.00042,776,-0.01993,36971,-0.01925,35706,0.00856,-15885,0.00924,-17150,-5052,-4179,-1630,-757,-28185,-27312,-50184,-49311,4.47321,5.57,6.716,1.24519,1.20575,3.64452,4.42228,3008,3888
"14","E02000984 E02000999","E02000984","E02000999","Bolton 001","Bolton 016",5041,65,2223,2285,0,0,0,468,0,0,0,1.28943,207.75,142.75,2159.1299,2219.55,-65.45,88.68,23.68,2211.6899,2274.8999,-10.1,974.03003,909.03003,1816.52,1867.98,-417.01999,1692.4399,1627.4399,1495.75,1537.89,-747.10999,-0.01437,26650,-0.00986,18299,-0.00538,9981,-0.00088,1630,-0.05474,101566,-0.05024,93215,0.14216,-263749,0.14666,-272100,-25740,-17684,-10820,-2764,-120733,-112677,-209898,-201842,4.3067,5.054,6.476,1.17352,1.28136,2.94816,4.40086,2536,3728
"15","E02000984 E02001000","E02000984","E02001000","Bolton 001","Bolton 017",1132,24,682,407,0,0,0,19,0,0,0,2.12014,73.98,49.98,651.22998,388.64001,-18.36,37.56,13.56,673.65997,402.01001,-4.99,304.03,280.03,509.63,304.14001,-102.86,436.57999,412.57999,428.04999,255.45,-151.55,0.00137,-2534,0.00091,-1696,0.00062,-1148,0.00017,-310,0.012,-22256,0.01154,-21418,0.08263,-153297,0.08217,-152459,-7970,-5387,-4047,-1464,-32772,-30189,-47063,-44480,4.80977,5.779,6.024,1.20151,1.04239,2.1284,2.17463,2302,2550
"16","E02000984 E02001001","E02000984","E02001001","Bolton 001","Bolton 018",225,0,30,192,0,0,0,3,0,0,0,0,5.55,5.55,29.26,187.25999,-4.74,0,0,30,192,0,35.11,35.11,25.31,162.03,-29.97,66.08,66.08,21.18,135.60001,-56.4,-0.00227,4206,-0.00227,4206,0,0,0,0,-0.01465,27181,-0.01465,27181,-0.01512,28060,-0.01512,28060,-1657,-1657,0,0,-10494,-10494,-19751,-19751,5.20018,6.82,7.812,1.31149,1.14545,2.97654,4.16027,3414,4384
"17","E02000984 E02001002","E02000984","E02001002","Bolton 001","Bolton 019",439,7,150,279,0,0,0,3,0,0,0,1.59453,21.02,14.02,145.13,269.94,-9.06,15.43,8.43,147.06,273.56,-5.44,84.85,77.85,122.96,228.73,-50.27,141.8,134.8,103.19,191.95,-87.05,-0.00555,10294,-0.0037,6858,-0.00342,6349,-0.00157,2913,-0.02206,40932,-0.02021,37496,-0.01104,20481,-0.00919,17045,-4829,-3220,-3544,-1935,-19496,-17887,-32583,-30974,6.03752,7.023,7.518,1.16323,1.07048,2.69116,2.93961,3176,3862
"18","E02000984 E02001003","E02000984","E02001003","Bolton 001","Bolton 020",261,1,35,221,0,0,0,4,0,0,0,0.38314,4.45,3.45,34.53,218.07001,-2.93,1.33,0.33,34.96,220.72,-0.28,19.87,18.87,32.45,204.97,-16.03,51.28,50.28,28.22,178.27,-42.72,-0.00258,4791,-0.002,3703,-0.00072,1342,-0.00014,254,-0.01177,21844,-0.01119,20756,-0.01772,32880,-0.01714,31792,-1777,-1374,-536,-133,-7922,-7519,-20458,-20055,6.35069,9.121,10.412,1.43622,1.14154,3.60706,4.13945,4800,6126
"19","E02000984 E02001004","E02000984","E02001004","Bolton 001","Bolton 021",387,2,119,243,0,0,0,23,0,0,0,0.5168,10.36,8.36,116.41,237.72,-5.28,2.98,0.98,118.71,242.38,-0.62,51.81,49.81,103.53,211.52,-31.48,104.24,102.24,87.33,178.42999,-64.57,-0.00339,6289,-0.00272,5046,-9e-04,1676,-0.00023,433,-0.01683,31229,-0.01616,29986,-0.01299,24103,-0.01232,22860,-2483,-2008,-709,-234,-12443,-11968,-25029,-24554,5.81692,7.405,8.474,1.27301,1.14436,3.21404,4.3663,3794,4880
"20","E02000984 E02001005","E02000984","E02001005","Bolton 001","Bolton 022",941,5,212,633,0,0,0,91,0,0,0,0.53135,28.11,23.11,206.75999,617.37,-15.63,6.74,1.74,211.62,631.81,-1.19,137.16,132.16,182.03,543.65002,-89.35,260.37,255.37,154.13,460.32001,-172.67999,-0.01178,21852,-0.00968,17950,-0.00263,4869,-0.00052,967,-0.05815,107884,-0.05605,103982,-0.05498,102002,-0.05288,98100,-7671,-6304,-1844,-477,-37415,-36048,-71035,-69668,6.54327,7.616,9.071,1.16394,1.19105,2.71796,3.73718,4100,5900
"21","E02000984 E02001006","E02000984","E02001006","Bolton 001","Bolton 023",163,0,23,135,0,0,0,5,0,0,0,0,3.1,3.1,22.56,132.44,-2.56,0,0,23,135,0,18.44,18.44,20.37,119.75,-15.25,39.62,39.62,17.38,102.2,-32.8,-0.00157,2913,-0.00157,2913,0,0,0,0,-0.00956,17736,-0.00956,17736,-0.01155,21428,-0.01155,21428,-1083,-1083,0,0,-6451,-6451,-13875,-13875,6.53663,7.803,9.645,1.19373,1.23606,3.05011,3.60809,4528,6398
"22","E02000984 E02001007","E02000984","E02001007","Bolton 001","Bolton 024",171,0,23,146,0,0,0,2,0,0,0,0,4.19,4.19,22.44,142.42999,-3.57,0,0,23,146,0,22.26,22.26,20,127,-19,42.61,42.61,17.27,109.62,-36.38,-0.00256,4752,-0.00256,4752,0,0,0,0,-0.01395,25890,-0.01395,25890,-0.01544,28638,-0.01544,28638,-1756,-1756,0,0,-9344,-9344,-17887,-17887,7.84898,9.681,10.48,1.23341,1.08253,2.40678,2.50954,4322,5402
"23","E02000984 E02001009","E02000984","E02001009","Bolton 001","Bolton 026",208,1,44,148,0,0,0,15,0,0,0,0.48077,4.84,3.84,43.18,145.28999,-2.71,8.33,7.33,42.44,142.22,-5.78,21.68,20.68,39.6,133.45,-14.55,47.44,46.44,34.13,115.03,-32.97,-0.0025,4635,-0.00198,3677,-0.0032,5937,-0.00268,4979,-0.0114,21141,-0.01088,20183,-0.01333,24735,-0.01282,23777,-1624,-1259,-3047,-2682,-7125,-6760,-15683,-15318,7.16153,8.663,11.116,1.20966,1.28316,2.88584,3.90428,5010,6986
"24","E02000984 E02001010","E02000984","E02001010","Bolton 001","Bolton 027",257,1,38,210,0,0,0,8,0,0,0,0.38911,6.26,5.26,37.22,205.69,-4.31,2.35,1.35,37.81,208.86,-1.14,30.29,29.29,33.64,186.00999,-23.99,62.97,61.97,28.79,159.2,-50.8,-0.00334,6190,-0.0028,5194,-0.00105,1945,-0.00051,949,-0.01648,30565,-0.01594,29569,-0.01947,36124,-0.01893,35128,-2285,-1912,-875,-502,-11012,-10639,-22899,-22526,7.7814,8.663,10.433,1.1133,1.20432,3.10516,2.75089,4518,6452
"25","E02000984 E02001012","E02000984","E02001012","Bolton 001","Bolton 029",348,0,6,326,0,0,0,16,0,0,0,0,7.27,7.27,5.87,319.19,-6.81,0,0,6,326,0,40.67,40.67,5.3,287.91,-38.09,83.83,83.83,4.55,247.47,-78.53,-0.00478,8868,-0.00478,8868,0,0,0,0,-0.02758,51165,-0.02758,51165,-0.03587,66549,-0.03587,66549,-3166,-3166,0,0,-17709,-17709,-36508,-36508,7.84825,9.249,10.927,1.17848,1.18143,2.8868,3.43187,5040,6916
"26","E02000984 E02001014","E02000984","E02001014","Bolton 001","Bolton 031",58,0,0,55,0,0,0,3,0,0,0,0,0.64,0.64,0,54.4,-0.6,0,0,0,55,0,2.88,2.88,0,52.26,-2.74,8.29,8.29,0,47.13,-7.87,-6e-04,1109,-6e-04,1109,0,0,0,0,-0.00273,5056,-0.00273,5056,-0.00514,9539,-0.00514,9539,-394,-394,0,0,-1786,-1786,-5139,-5139,10.28906,12.781,15.164,1.24219,1.18645,3.12965,3.67977,6406,8104
"27","E02000984 E02001015","E02000984","E02001015","Bolton 001","Bolton 032",221,3,7,200,0,0,0,11,0,0,0,1.35747,7.14,4.14,6.87,196.21001,-3.79,3.86,0.86,6.98,199.24001,-0.76,21.92,18.92,6.37,182.58,-17.42,47.8,44.8,5.54,158.85001,-41.15,-0.00515,9549,-0.00298,5522,-0.00261,4849,-0.00044,822,-0.01579,29297,-0.01362,25270,-0.02294,42555,-0.02077,38528,-3306,-1952,-1744,-390,-10332,-8978,-22548,-21194,8.80481,10.003,12.436,1.13608,1.24323,2.82915,3.16018,5222,7594
"28","E02000984 E02001017","E02000984","E02001017","Bolton 001","Bolton 034",106,0,0,103,0,0,0,3,0,0,0,0,1.53,1.53,0,101.51,-1.49,0,0,0,103,0,7.42,7.42,0,95.79,-7.21,18.52,18.52,0,85.01,-17.99,-0.00131,2424,-0.00131,2424,0,0,0,0,-0.00638,11828,-0.00638,11828,-0.01043,19346,-0.01043,19346,-882,-882,0,0,-4282,-4282,-10679,-10679,9.87509,11.45,14.019,1.15948,1.22437,3.23144,2.82474,5756,8060
"29","E02000984 E02001018","E02000984","E02001018","Bolton 001","Bolton 035",48,0,0,46,0,0,0,2,0,0,0,0,0.46,0.46,0,45.56,-0.44,0,0,0,46,0,1.86,1.86,0,44.22,-1.78,5.8,5.8,0,40.44,-5.56,-0.00049,906,-0.00049,906,0,0,0,0,-0.00199,3683,-0.00199,3683,-0.00406,7541,-0.00406,7541,-325,-325,0,0,-1314,-1314,-4105,-4105,11.31531,14.514,16.505,1.28269,1.13718,2.97644,3.57467,7094,9010
"30","E02000984 E02001025","E02000984","E02001025","Bolton 001","Bury 007",26,0,0,26,0,0,0,0,0,0,0,0,0.29,0.29,0,25.71,-0.29,0,0,0,26,0,1.26,1.26,0,24.74,-1.26,3.59,3.59,0,22.41,-3.59,-3e-04,561,-3e-04,561,0,0,0,0,-0.00128,2376,-0.00128,2376,-0.00239,4436,-0.00239,4436,-203,-203,0,0,-873,-873,-2485,-2485,11.04693,13.553,13.905,1.22686,1.02597,2.87759,3.58145,6718,7312
"31","E02000984 E02001026","E02000984","E02001026","Bolton 001","Bury 008",157,0,0,154,0,0,0,3,0,0,0,0,1.93,1.93,0,152.10001,-1.9,0,0,0,154,0,8.75,8.75,0,145.39999,-8.6,23.73,23.73,0,130.7,-23.3,-0.00191,3543,-0.00191,3543,0,0,0,0,-0.00842,15617,-0.00842,15617,-0.01499,27818,-0.01499,27818,-1233,-1233,0,0,-5586,-5586,-15144,-15144,10.38001,12.667,12.992,1.22033,1.02566,2.8894,3.57143,6196,7396
"32","E02000984 E02001027","E02000984","E02001027","Bolton 001","Bury 009",144,0,0,144,0,0,0,0,0,0,0,0,2.26,2.26,0,141.74001,-2.26,0,0,0,144,0,11.76,11.76,0,132.24001,-11.76,28.01,28.01,0,115.99,-28.01,-0.00185,3437,-0.00185,3437,0,0,0,0,-0.00937,17378,-0.00937,17378,-0.01465,27170,-0.01465,27170,-1212,-1212,0,0,-6315,-6315,-15043,-15043,8.35792,10.548,10.241,1.26204,0.97089,2.91998,3.94493,5018,5234
"33","E02000984 E02001029","E02000984","E02001029","Bolton 001","Bury 011",44,0,0,44,0,0,0,0,0,0,0,0,0.61,0.61,0,43.39,-0.61,0,0,0,44,0,2.86,2.86,0,41.14,-2.86,7.29,7.29,0,36.71,-7.29,-0.00054,1007,-0.00054,1007,0,0,0,0,-0.00256,4753,-0.00256,4753,-0.00429,7960,-0.00429,7960,-377,-377,0,0,-1770,-1770,-4520,-4520,10.09845,12.181,12.8,1.20622,1.05082,2.82407,3.54688,5644,6686
"34","E02000984 E02001031","E02000984","E02001031","Bolton 001","Bury 013",137,0,0,137,0,0,0,0,0,0,0,0,1.64,1.64,0,135.36,-1.64,0,0,0,137,0,7.3,7.3,0,129.7,-7.3,20.13,20.13,0,116.87,-20.13,-0.00166,3073,-0.00166,3073,0,0,0,0,-0.00717,13306,-0.00717,13306,-0.01298,24079,-0.01298,24079,-1085,-1085,0,0,-4836,-4836,-13337,-13337,10.62692,13.023,13.869,1.22547,1.06496,2.78738,3.2807,5998,7306
"36","E02000984 E02001177","E02000984","E02001177","Bolton 001","Salford 021",17,0,0,17,0,0,0,0,0,0,0,0,0.14,0.14,0,16.86,-0.14,0,0,0,17,0,0.41,0.41,0,16.59,-0.41,1.48,1.48,0,15.52,-1.48,-0.00015,287,-0.00015,287,0,0,0,0,-0.00048,891,-0.00048,891,-0.00139,2575,-0.00139,2575,-142,-142,0,0,-407,-407,-1462,-1462,16.84998,19.33,23.13,1.14718,1.19659,2.52457,2.45569,8972,12324
"37","E02000984 E02001178","E02000984","E02001178","Bolton 001","Salford 022",23,0,0,17,0,0,0,6,0,0,0,0,0.18,0.18,0,16.87,-0.13,0,0,0,17,0,0.41,0.41,0,16.7,-0.3,1.7,1.7,0,15.74,-1.26,-0.00019,349,-0.00019,349,0,0,0,0,-0.00048,881,-0.00048,881,-0.00173,3201,-0.00173,3201,-146,-146,0,0,-341,-341,-1423,-1423,18.98878,22.816,24.646,1.20155,1.08021,2.22212,2.89296,10420,12884
"38","E02000984 E02001184","E02000984","E02001184","Bolton 001","Salford 028",26,0,0,23,0,0,0,3,0,0,0,0,0.2,0.2,0,22.82,-0.18,0,0,0,23,0,0.46,0.46,0,22.59,-0.41,1.92,1.92,0,21.3,-1.7,-0.00021,397,-0.00021,397,0,0,0,0,-0.00054,996,-0.00054,996,-0.00196,3629,-0.00196,3629,-200,-200,0,0,-463,-463,-1931,-1931,19.40714,22.609,26.085,1.16498,1.15374,2.25132,2.39601,10286,13918
"39","E02000984 E02001260","E02000984","E02001260","Bolton 001","Trafford 002",47,0,0,47,0,0,0,0,0,0,0,0,0.41,0.41,0,46.59,-0.41,0,0,0,47,0,0.93,0.93,0,46.07,-0.93,3.63,3.63,0,43.37,-3.63,-0.00044,815,-0.00044,815,0,0,0,0,-0.00108,2001,-0.00108,2001,-0.00374,6942,-0.00374,6942,-471,-471,0,0,-1066,-1066,-4176,-4176,19.13436,22.567,24.407,1.1794,1.08153,2.16245,2.50748,10680,14042
"40","E02000985 E02000986","E02000985","E02000986","Bolton 002","Bolton 003",1013,17,497,472,0,0,0,27,0,0,0,1.67818,35.97,18.97,487.54001,463.01001,-8.99,53.44,36.44,478.60001,455.03,-16.97,161.67,144.67,424.82999,403.41,-68.59,322.47,305.47,344.59,327.20999,-144.78999,-0.00033,605,-0.00018,329,-0.00033,614,-0.00018,338,-0.00083,1542,-0.00068,1266,0.01671,-30995,0.01686,-31271,-2355,-1244,-3462,-2351,-10615,-9504,-21175,-20064,1.339,2.748,2.579,2.05227,0.9385,6.47744,6.4366,2032,2140
"41","E02000985 E02000987","E02000985","E02000987","Bolton 002","Bolton 004",77,0,0,76,0,0,0,1,0,0,0,0,0.83,0.83,0,75.18,-0.82,0,0,0,76,0,4.04,4.04,0,72.01,-3.99,11.64,11.64,0,64.51,-11.49,-0.00072,1343,-0.00072,1343,0,0,0,0,-0.00353,6552,-0.00353,6552,-0.00668,12388,-0.00668,12388,-496,-496,0,0,-2408,-2408,-6944,-6944,9.27729,11.899,11.948,1.28259,1.00412,3.5213,4.59491,6728,7896
"42","E02000985 E02000988","E02000985","E02000988","Bolton 002","Bolton 005",1336,14,237,1053,0,0,0,32,0,0,0,1.0479,63.17,49.17,228.17999,1013.84,-39.16,21.27,7.27,235.69,1047.22,-5.78,349.39999,335.39999,176.89999,785.79999,-267.20001,524.06,510.06,145.58,646.67999,-406.32001,-0.01123,20834,-0.00873,16204,-0.00341,6327,-0.00092,1697,-0.06454,119732,-0.06204,115102,-0.05552,103002,-0.05302,98372,-9448,-7347,-3187,-1086,-52205,-50104,-78302,-76201,2.08737,3.825,3.929,1.83245,1.02719,2.82353,5.24306,2112,2746
"43","E02000985 E02000989","E02000985","E02000989","Bolton 002","Bolton 006",2399,40,1406,912,0,0,0,41,0,0,0,1.66736,115.57,75.57,1360.96,882.78003,-29.22,103.83,63.83,1367.8101,887.46002,-24.54,584.10999,544.10999,1081.66,701.67999,-210.32001,913.09998,873.09998,885.58002,574.48999,-337.51001,0.00326,-6043,0.00214,-3977,0.00244,-4520,0.00132,-2454,0.02096,-38885,0.01985,-36819,0.08672,-160890,0.08561,-158824,-6378,-4166,-5709,-3497,-32203,-29991,-50343,-48131,1.82998,2.801,2.826,1.53062,1.00893,3.10603,3.07856,1528,1534
"44","E02000985 E02000990","E02000985","E02000990","Bolton 002","Bolton 007",842,0,4,829,0,0,0,9,0,0,0,0,9.66,9.66,3.95,819.48999,-9.51,0,0,4,829,0,47.44,47.44,3.77,782.28003,-46.72,132.67999,132.67999,3.37,698.34998,-130.64999,-0.00821,15235,-0.00821,15235,0,0,0,0,-0.04054,75221,-0.04054,75221,-0.07418,137631,-0.07418,137631,-5638,-5638,0,0,-27702,-27702,-77469,-77469,8.94869,11.712,15.705,1.30879,1.34093,3.50068,2.6361,6672,10230
"45","E02000985 E02000991","E02000985","E02000991","Bolton 002","Bolton 008",299,1,37,260,0,0,0,1,0,0,0,0.33445,9.78,8.78,35.91,252.34,-7.66,2.7,1.7,36.8,258.51001,-1.49,59.49,58.49,29.73,208.97,-51.03,101.67,100.67,24.49,172.17,-87.83,-0.00295,5478,-0.00265,4910,-0.00068,1253,-0.00037,685,-0.01825,33862,-0.01795,33294,-0.01651,30627,-0.0162,30059,-2313,-2076,-641,-404,-14074,-13837,-24054,-23817,3.55904,5.378,5.606,1.51108,1.04239,3.36556,4.12059,3214,3666
"46","E02000985 E02000993","E02000985","E02000993","Bolton 002","Bolton 010",1168,26,569,525,0,0,0,48,0,0,0,2.22603,87.44,61.44,538.39001,496.75,-28.25,40.47,14.47,561.78998,518.34003,-6.66,424.5,398.5,370.45001,341.82001,-183.17999,524.87,498.87,320.44,295.67999,-229.32001,-0.00071,1309,-5e-04,923,-0.00029,538,-8e-05,152,-0.00187,3461,-0.00166,3075,0.02274,-42192,0.02295,-42578,-4671,-3280,-2164,-773,-22666,-21275,-28025,-26634,1.95249,2.325,2.53,1.19079,1.08817,2.32258,2.37154,1066,1298
"47","E02000985 E02000994","E02000985","E02000994","Bolton 002","Bolton 011",499,10,75,407,0,0,0,7,0,0,0,2.00401,26.67,16.67,72.44,393.12,-13.88,15.64,5.64,74.14,402.26001,-4.74,115.55,105.55,58.81,319.20001,-87.8,184.00999,174.00999,48.31,262.20999,-144.78999,-0.00624,11583,-0.0039,7232,-0.00328,6088,-0.00094,1737,-0.02812,52174,-0.02578,47823,-0.02758,51173,-0.02524,46822,-5119,-3187,-3019,-1087,-22096,-20164,-35184,-33252,2.93309,4.557,4.905,1.55365,1.07637,2.98442,4.11825,2442,3006
"48","E02000985 E02000995","E02000985","E02000995","Bolton 002","Bolton 012",218,0,12,205,0,0,0,1,0,0,0,0,5.78,5.78,11.68,199.57001,-5.43,0,0,12,205,0,36.41,36.41,9.99,170.75999,-34.24,66.22,66.22,8.35,142.73,-62.27,-0.00265,4919,-0.00265,4919,0,0,0,0,-0.01719,31886,-0.01719,31886,-0.01892,35106,-0.01892,35106,-1880,-1880,0,0,-11851,-11851,-21552,-21552,4.88536,6.82,7.084,1.39601,1.03871,2.91789,3.76906,4064,4498
"49","E02000985 E02000996","E02000985","E02000996","Bolton 002","Bolton 013",500,3,216,266,0,0,0,15,0,0,0,0.6,17.3,14.3,209.78,258.34,-7.66,6.92,3.92,214.34,263.85999,-2.14,104.56,101.56,171.83,211.67,-54.33,177.25999,174.25999,140.24001,172.75,-93.25,-0.00091,1685,-0.00073,1362,-0.00034,622,-0.00016,299,-0.00496,9194,-0.00478,8871,0.00738,-13686,0.00755,-14009,-1947,-1604,-791,-448,-11729,-11386,-19884,-19541,2.86383,4.154,4.407,1.4505,1.06091,3.39432,3.29022,2354,2708
