"","geo_code","geo_label","all","bicycle","foot","car_driver","car_passenger","train","light_rail","bus","taxi","motorbike","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"8","E02003928","Cornwall 071",5279,231,953,3574,310,18,4,83,5,65,36,316.17599,85.176,927,3522.498,-51.502,336.62201,105.622,929.703,3503.0391,-70.961,635.93298,404.93301,773.98499,3375.752,-198.248,1048.223,817.22302,655.55499,3117.6531,-456.34698,-0.2015,373817,-0.03137,58191,-0.2087,387183,-0.03857,71557,-0.20663,383350,-0.03651,67724,-0.2751,510371,-0.10497,194745,-124599,-23248,-138377,-37026,-149764,-48413,-282087,-180736,3.41235
"237","E02003949","Cornwall 068",2471,57,984,1094,140,64,2,78,6,22,24,99.61,42.61,960.75897,1079.1169,-14.883,76.699,19.699,976.32397,1084.788,-9.212,362.74701,305.74701,796.00702,1003.145,-90.855,581.17401,524.17401,691.46503,916.38,-177.62,-0.01449,26864,-0.00463,8586,-0.01272,23596,-0.00287,5318,-0.02265,42016,-0.0128,23738,-0.03209,59535,-0.02224,41257,-9846,-3641,-8726,-2521,-20887,-14682,-47908,-41703,2.92025
"238","E02003941","Cornwall 014",3178,38,582,2196,242,17,0,29,24,31,19,92.385,54.385,567.745,2161.6411,-34.359,75.72,37.72,573.53601,2170.6389,-25.361,429.702,391.702,472.06601,1955.4189,-240.58099,734.07501,696.07501,398.53601,1759.3571,-436.64301,-0.01731,32089,-0.00845,15660,-0.01478,27420,-0.00593,10991,-0.04479,83075,-0.03593,66646,-0.06398,118679,-0.05512,102250,-13683,-6711,-13589,-6617,-39806,-32834,-88848,-81876,2.63537
"355","E02003945","Cornwall 058",2108,35,167,1560,156,31,3,94,11,32,19,65.011,30.011,163.202,1539.973,-20.027,62.438,27.438,163.27901,1543.022,-16.978,205.77699,170.77699,141.291,1452.851,-107.149,390.06601,355.06601,121.969,1324.085,-235.91499,-0.02685,49790,-0.01142,21169,-0.02045,37938,-0.00502,9317,-0.05874,108965,-0.04331,80344,-0.09334,173159,-0.07791,144538,-16163,-7125,-13145,-4107,-37854,-28816,-91763,-82725,3.1641
"443","E02003915","Cornwall 062",2759,75,755,1494,170,57,4,91,34,41,38,119.647,44.647,737.05902,1474.199,-19.801,136.119,61.119,728.80402,1468.074,-25.926,354.23999,279.23999,628.909,1380.837,-113.163,619.87903,544.87903,539.66699,1246.447,-247.55299,-0.02144,39769,-0.00666,12344,-0.0205,38023,-0.00571,10598,-0.03709,68796,-0.0223,41371,-0.05531,102608,-0.04053,75183,-16675,-4880,-18637,-6842,-31619,-19824,-72819,-61024,3.35535
"503","E02003932","Cornwall 002",2240,32,123,1882,131,11,1,17,2,20,21,63.729,31.729,120.338,1856.053,-25.947,54.471,22.471,121.633,1863.239,-18.761,215.194,183.194,105.739,1734.053,-147.94701,401.04901,369.04901,93.108,1579.354,-302.646,-0.02386,44256,-0.01179,21862,-0.01873,34739,-0.00666,12345,-0.06842,126931,-0.05635,104537,-0.09441,175150,-0.08234,152756,-17316,-8203,-17144,-8031,-50685,-41572,-103467,-94354,NA
"516","E02003947","Cornwall 065",2266,55,176,1683,149,33,2,101,4,34,29,80.042,25.042,173.634,1664.4561,-18.544,98.305,43.305,173.8,1649.245,-33.755,205.342,150.342,159.21899,1574.667,-108.333,427.04001,372.04001,139.117,1409.089,-273.91101,-0.02572,47710,-0.00747,13844,-0.02971,55108,-0.01145,21242,-0.04716,87479,-0.0289,53613,-0.0809,150086,-0.06265,116220,-15961,-4727,-21210,-9976,-30338,-19104,-74265,-63031,4.27524
"611","E02003910","Cornwall 044",2761,66,996,1379,92,69,2,118,3,22,14,117.157,51.157,970.04303,1358.64,-20.36,110.292,44.292,978.82703,1358.731,-20.269,421.953,355.953,793.26099,1253.131,-125.869,687.00702,621.00702,675.74902,1133.9969,-245.00301,-0.01904,35308,-0.00515,9538,-0.02035,37742,-0.00645,11972,-0.02685,49802,-0.01296,24032,-0.03791,70318,-0.02402,44548,-14036,-4589,-16335,-6888,-28682,-19235,-65977,-56530,4.12598
"629","E02003927","Cornwall 066",3103,50,201,2481,158,41,8,73,4,46,41,86.821,36.821,197.974,2451.3999,-29.6,79.356,29.356,198.78799,2457.0879,-23.912,254.51199,204.51199,180.561,2319.886,-161.114,530.77899,480.77899,160.912,2093.9209,-387.07901,-0.03564,66095,-0.01557,28872,-0.03006,55759,-0.00999,18536,-0.08172,151589,-0.06165,114366,-0.14165,262791,-0.12159,225568,-23842,-10187,-23368,-9713,-56614,-42959,-145496,-131841,NA
"675","E02003894","Cornwall 013",3310,26,532,2421,189,16,2,56,0,37,31,57.819,31.819,521.96899,2401.969,-19.031,48.473,22.473,526.05902,2406.8999,-14.1,216.377,190.377,458.97299,2318.4551,-102.545,489.48001,463.48001,384.315,2144.8831,-276.117,-0.02406,44604,-0.01022,18929,-0.02057,38158,-0.00673,12483,-0.04413,81833,-0.03028,56158,-0.08601,159545,-0.07217,133870,-18892,-8484,-17940,-7532,-43300,-32892,-130963,-120555,NA
"817","E02003948","Cornwall 067",2893,86,759,1657,177,52,2,69,14,53,24,138.192,52.192,738.896,1631.406,-25.594,144.342,58.342,734.362,1630.019,-26.981,429.67099,343.67099,615.112,1498.2581,-158.742,694.87402,608.87402,531.64099,1353.9821,-303.01801,-0.01813,33625,-0.00648,12011,-0.01494,27714,-0.00329,6100,-0.03277,60786,-0.02112,39172,-0.04958,91973,-0.03793,70359,-12919,-5053,-11518,-3652,-28055,-20189,-64931,-57065,2.90524
"969","E02003964","Cornwall 041",2580,31,263,1994,145,27,3,60,5,26,26,63.403,32.403,257.142,1970.743,-23.257,52.379,21.379,258.534,1979.157,-14.843,202.661,171.661,225.38499,1876.835,-117.165,407.77499,376.77499,198.62399,1719.89,-274.10999,-0.02931,54354,-0.01401,25976,-0.02084,38652,-0.00554,10274,-0.06664,123616,-0.05134,95238,-0.11427,211983,-0.09897,183605,-21647,-10005,-17250,-5608,-51855,-40213,-132016,-120374,NA
"1221","E02003929","Cornwall 072",2485,44,190,1942,171,17,3,52,7,36,23,69.99,25.99,185.55499,1923.691,-18.309,77.414,33.414,185.93201,1916.495,-25.505,163.431,119.431,163.211,1864.942,-77.058,354.85199,310.85199,141.383,1719.9189,-222.08099,-0.03551,65858,-0.01215,22537,-0.03685,68365,-0.0135,25044,-0.05622,104280,-0.03286,60959,-0.1079,200168,-0.08455,156847,-25574,-8938,-30905,-14269,-43273,-26637,-115795,-99159,2.24033
"1350","E02003963","Cornwall 039",3446,36,737,2210,270,53,4,56,25,39,16,81.988,45.988,725.13098,2181.749,-28.251,58.485,22.485,731.22302,2196.354,-13.646,369.586,333.586,635.50897,2018.1169,-191.883,734.92499,698.92499,538.21301,1796.538,-413.46201,-0.0204,37834,-0.0108,20024,-0.01361,25241,-0.00401,7431,-0.05472,101507,-0.04512,83697,-0.09176,170228,-0.08216,152418,-13881,-7594,-9784,-3497,-40797,-34510,-105939,-99652,2.89149
"1449","E02003905","Cornwall 032",2662,26,141,2174,131,21,1,105,6,39,18,50.21,24.21,138.353,2155.4299,-18.57,46.07,20.07,139.806,2157.864,-16.136,132.241,106.241,123.484,2098.459,-75.541,339.005,313.005,108.622,1932.939,-241.061,-0.03357,62255,-0.01622,30072,-0.02794,51831,-0.01059,19648,-0.06832,126734,-0.05097,94551,-0.14588,270631,-0.12853,238448,-21575,-10815,-19938,-9178,-47860,-37100,-151253,-140493,3.12309
"1660","E02003936","Cornwall 006",3001,23,144,2548,184,9,4,21,5,32,31,48.468,25.468,142.30299,2526.728,-21.272,36.678,13.678,143.532,2536.3269,-11.673,177.416,154.416,132.314,2420.395,-127.605,407.979,384.979,118.572,2226.177,-321.823,-0.0212,39316,-0.01069,19822,-0.01595,29596,-0.00545,10102,-0.06083,112851,-0.05032,93357,-0.10663,197819,-0.09612,178325,-14327,-7406,-11966,-5045,-43306,-36385,-114149,-107228,NA
"1690","E02003919","Cornwall 046",2651,38,344,1866,215,36,0,87,11,43,11,82.177,44.177,335.68301,1836.598,-29.402,71.325,33.325,337.63901,1843.813,-22.187,323.76199,285.76199,279.58099,1684.927,-181.073,586.44,548.44,239.722,1501.671,-364.32901,-0.02622,48631,-0.01386,25706,-0.01939,35963,-0.00703,13038,-0.06927,128491,-0.05691,105566,-0.11201,207794,-0.09965,184869,-16085,-8724,-13445,-6084,-47111,-39750,-114342,-106981,3.22542
"1790","E02003960","Cornwall 035",2100,33,330,1468,106,55,5,49,10,17,27,72.18,39.18,320.25201,1443.08,-24.92,57.174,24.174,324.35901,1452.473,-15.527,272.599,239.599,264.48099,1320.9041,-147.09599,441.82999,408.82999,234.914,1201.833,-266.16699,-0.01692,31377,-0.00998,18510,-0.01127,20894,-0.00433,8027,-0.05276,97875,-0.04582,85008,-0.06909,128175,-0.06215,115308,-11466,-6824,-8630,-3988,-39867,-35225,-82100,-77458,2.47751
"1809","E02003959","Cornwall 031",2830,39,232,2125,236,51,0,74,18,39,16,83.353,44.353,226.69901,2093.4231,-31.577,87.948,48.948,226.662,2089.897,-35.103,317.73099,278.73099,192.395,1932.67,-192.33,598.49103,559.49103,166.453,1723.937,-401.06299,-0.02693,49941,-0.01406,26066,-0.02312,42881,-0.01025,19006,-0.07814,144960,-0.06527,121085,-0.12713,235845,-0.11426,211970,-16943,-8947,-16894,-8898,-50965,-42969,-122767,-114771,3.49714
"1894","E02003917","Cornwall 064",3324,79,464,2340,235,66,3,36,24,42,35,119.192,40.192,456.397,2312.981,-27.019,146.67,67.67,451.14401,2294.7461,-45.254,324.15201,245.15199,410.87601,2181.158,-158.842,669.797,590.797,349.711,1943.577,-396.423,-0.0268,49693,-0.00946,17537,-0.02833,52554,-0.011,20398,-0.05288,98085,-0.03554,65929,-0.09615,178371,-0.07882,146215,-19329,-6679,-24415,-11765,-39343,-26693,-105826,-93176,3.19501
"1930","E02003952","Cornwall 018",2645,75,327,1911,156,7,2,96,15,38,18,126.566,51.566,316.12799,1877.571,-33.429,107.603,32.603,321.686,1888.353,-22.647,372.07101,297.07101,257.78101,1726.01,-184.99001,583.43701,508.436,222.701,1578.859,-332.14099,-0.03493,64782,-0.01142,21168,-0.0313,58048,-0.00778,14434,-0.06464,119915,-0.04113,76301,-0.095,176228,-0.07148,132614,-28898,-8943,-29680,-9725,-52227,-32272,-107738,-87783,2.68956
"2226","E02003923","Cornwall 052",2989,54,463,2004,219,47,2,125,14,45,16,117.388,63.388,446.99899,1966.01,-37.99,97.812,43.812,451.134,1978.116,-25.884,447.40201,393.40201,349.89099,1779.917,-224.08299,710.89801,656.89801,307.70401,1602.64,-401.35999,-0.03698,68580,-0.01497,27764,-0.0306,56763,-0.0086,15947,-0.0782,145057,-0.05619,104241,-0.11952,221716,-0.09751,180900,-25559,-10070,-23897,-8408,-56457,-40968,-123104,-107615,2.81081
"2671","E02003918","Cornwall 045",2834,52,137,2294,211,14,1,60,8,42,15,118.765,66.765,131.89301,2241.821,-52.179,100.966,48.966,132.44299,2256.2839,-37.716,430.20499,378.20499,104.642,2001.739,-292.26099,668.55701,616.55701,92.899,1806.156,-487.84399,-0.04201,77920,-0.02151,39885,-0.03408,63225,-0.01358,25190,-0.11694,216944,-0.09644,178909,-0.16169,299966,-0.14119,261931,-26813,-13756,-25460,-12403,-78006,-64949,-156117,-143060,2.62179
"2792","E02003893","Cornwall 012",2507,24,93,2093,136,41,4,35,3,44,34,46.548,22.548,91.847,2074.2881,-18.712,43.048,19.048,92.068,2077.3521,-15.648,158.96899,134.96899,84.626,1982.835,-110.165,336.29901,312.29901,77.054,1833.567,-259.43301,-0.02046,37946,-0.00926,17156,-0.01702,31564,-0.00581,10774,-0.05343,99104,-0.04222,78314,-0.09467,175618,-0.08346,154828,-14528,-6397,-14094,-5963,-37689,-29558,-96868,-88737,3.55237
"3061","E02003957","Cornwall 027",3913,22,297,3085,300,64,2,49,4,59,31,66.595,44.595,291.92099,3051.1101,-33.89,37.571,15.571,294.586,3073.8501,-11.15,293.159,271.159,256.92999,2887.416,-197.584,670.92499,648.92499,217.814,2597.2319,-487.76801,-0.03073,57001,-0.02163,40110,-0.01397,25914,-0.00487,9023,-0.10539,195524,-0.09629,178633,-0.18091,335629,-0.17181,318738,-20254,-14143,-11682,-5571,-73100,-66989,-196544,-190433,3.64761
"3116","E02003944","Cornwall 057",3557,86,457,2555,226,54,3,117,3,29,27,151.407,65.407,441.51901,2513.125,-41.875,165.73,79.73,436.04001,2504.6609,-50.339,418.57901,332.57901,361.10999,2357.7019,-197.298,735.45203,649.45203,310.034,2134.9351,-420.065,-0.05732,106316,-0.02247,41678,-0.05257,97526,-0.01773,32888,-0.10405,193019,-0.0692,128381,-0.16567,307353,-0.13083,242715,-40570,-15864,-44103,-19397,-78834,-54128,-187206,-162500,2.461
"3214","E02003902","Cornwall 029",2320,118,617,1151,113,14,3,183,9,69,43,161.30099,43.301,602.25702,1131.644,-19.356,175.373,57.373,602.13202,1123.2271,-27.773,328.04401,210.04401,529.16803,1069.077,-81.923,569.349,451.349,455.90201,950.36798,-200.632,-0.03522,65307,-0.00933,17283,-0.03652,67746,-0.01063,19722,-0.05654,104869,-0.03065,56845,-0.07237,134240,-0.04648,86216,-21758,-5309,-24474,-8025,-35284,-18835,-75187,-58738,4.78814
