"","id","msoa1","msoa2","geo_label1","geo_label2","all","bicycle","foot","car_driver","car_passenger","train","light_rail","bus","taxi","motorbike","other","clc","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","dist","dist_fast","dist_quiet","cirquity","distq_f","avslope","avslope_q","time_fast","time_quiet"
"1","E02003892 E02003893","E02003892","E02003893","Cornwall 010","Cornwall 012",19,0,0,18,1,0,0,0,0,0,0,0,0.09,0.09,0,17.92,-0.08,0,0,0,18,0,0.25,0.25,0,17.76,-0.24,1.26,1.26,0,16.81,-1.19,-1e-04,179,-1e-04,179,0,0,0,0,-0.00026,489,-0.00026,489,-0.00106,1969,-0.00106,1969,-82,-82,0,0,-236,-236,-1178,-1178,16.97379,19.517,21.398,1.14983,1.09638,4.67797,4.58454,10984,12182
"2","E02003892 E02003894","E02003892","E02003894","Cornwall 010","Cornwall 013",407,10,12,333,35,0,0,9,2,6,0,2.457,19.29,9.29,11.72,325.20999,-7.79,20.42,10.42,11.58,324.38,-8.62,59.23,49.23,10.56,291.64999,-41.35,115.73,105.73,8.84,244.27,-88.73,-0.00948,17591,-0.00459,8506,-0.00843,15629,-0.00353,6544,-0.02706,50194,-0.02216,41109,-0.03444,63896,-0.02954,54811,-5682,-2747,-5974,-3039,-17523,-14588,-34238,-31303,6.4209,6.937,8.661,1.08038,1.24852,3.80568,4.01801,3430,4638
"3","E02003892 E02003895","E02003892","E02003895","Cornwall 010","Cornwall 016",47,1,4,41,0,0,0,1,0,0,0,2.12766,1.18,0.18,3.99,40.84,-0.16,3.8,2.8,3.85,38.43,-2.57,1.08,0.08,3.98,40.94,-0.06,2.79,1.79,3.82,39.42,-1.58,-0.00123,2288,-0.00018,338,-0.0031,5752,-0.00205,3802,-0.00112,2074,-7e-05,124,-0.00247,4572,-0.00141,2622,-1084,-159,-3517,-2592,-984,-59,-2517,-1592,17.56566,19.808,25.128,1.12765,1.26858,4.80109,4.67606,11152,14218
"4","E02003892 E02003896","E02003892","E02003896","Cornwall 010","Cornwall 017",41,0,2,36,2,0,0,0,0,0,1,0,0.15,0.15,1.99,35.87,-0.13,0,0,2,36,0,0.41,0.41,1.98,35.64,-0.36,2.37,2.37,1.88,33.92,-2.08,-0.00016,297,-0.00016,297,0,0,0,0,-0.00041,767,-0.00041,767,-0.00189,3507,-0.00189,3507,-138,-138,0,0,-372,-372,-2154,-2154,18.35459,20.342,24.993,1.10828,1.22864,4.6898,4.48926,11268,14044
"5","E02003892 E02003897","E02003892","E02003897","Cornwall 010","Cornwall 022",62,0,0,59,1,0,0,0,0,2,0,0,0.29,0.29,0,58.72,-0.28,0,0,0,59,0,0.96,0.96,0,58.08,-0.92,4.54,4.54,0,54.68,-4.32,-0.00032,589,-0.00032,589,0,0,0,0,-0.00101,1864,-0.00101,1864,-0.00344,6380,-0.00344,6380,-245,-245,0,0,-815,-815,-3845,-3845,11.59373,18.571,20.022,1.60181,1.07813,4.25394,5.19429,9408,11116
"6","E02003892 E02003898","E02003892","E02003898","Cornwall 010","Cornwall 023",79,0,4,68,5,0,0,0,0,2,0,0,0.3,0.3,3.98,67.74,-0.26,0,0,4,68,0,0.64,0.64,3.97,67.45,-0.55,4.23,4.23,3.79,64.36,-3.64,-0.00032,595,-0.00032,595,0,0,0,0,-0.00065,1200,-0.00065,1200,-0.00395,7322,-0.00395,7322,-316,-316,0,0,-666,-666,-4388,-4388,13.25629,23.729,22.905,1.79002,0.96527,5.44481,6.31303,12900,13326
"7","E02003892 E02003899","E02003892","E02003899","Cornwall 010","Cornwall 025",18,0,1,15,1,0,0,1,0,0,0,0,0.08,0.08,1,14.93,-0.07,0,0,1,15,0,0.27,0.27,0.98,14.78,-0.22,1.3,1.3,0.93,13.92,-1.08,-9e-05,161,-9e-05,161,0,0,0,0,-0.00027,505,-0.00027,505,-0.00094,1748,-0.00094,1748,-62,-62,0,0,-202,-202,-972,-972,11.82571,18.894,19.983,1.59771,1.05764,3.86366,5.23445,9150,10914
"8","E02003892 E02003900","E02003892","E02003900","Cornwall 010","Cornwall 026",24,0,0,20,1,0,0,1,0,2,0,0,0.12,0.12,0,19.9,-0.1,0,0,0,20,0,0.37,0.37,0,19.69,-0.31,1.71,1.71,0,18.57,-1.43,-0.00013,245,-0.00013,245,0,0,0,0,-0.00038,710,-0.00038,710,-0.00139,2574,-0.00139,2574,-95,-95,0,0,-290,-290,-1358,-1358,11.82602,19.475,20.564,1.64679,1.05592,3.75866,5.09628,9532,11296
"9","E02003892 E02003935","E02003892","E02003935","Cornwall 010","Cornwall 005",35,0,2,32,1,0,0,0,0,0,0,0,0.14,0.14,1.99,31.87,-0.13,0,0,2,32,0,0.37,0.37,1.98,31.66,-0.34,2.08,2.08,1.88,30.1,-1.9,-0.00015,273,-0.00015,273,0,0,0,0,-0.00037,689,-0.00037,689,-0.00167,3095,-0.00167,3095,-134,-134,0,0,-354,-354,-1991,-1991,16.37636,20.585,22.295,1.257,1.08307,4.61015,5.66495,11314,13354
"10","E02003892 E02003936","E02003892","E02003936","Cornwall 010","Cornwall 006",100,0,0,94,4,0,0,2,0,0,0,0,0.63,0.63,0,93.41,-0.59,0,0,0,94,0,1.68,1.68,0,92.42,-1.58,7.3,7.3,0,87.14,-6.86,-0.00069,1275,-0.00069,1275,0,0,0,0,-0.00175,3251,-0.00175,3251,-0.00609,11304,-0.00609,11304,-614,-614,0,0,-1638,-1638,-7125,-7125,15.51186,20.265,20.813,1.30642,1.02704,3.76018,5.24672,9874,11652
"11","E02003893 E02003894","E02003893","E02003894","Cornwall 012","Cornwall 013",206,1,6,183,12,0,0,2,0,2,0,0.48544,2.3,1.3,5.96,181.84,-1.16,2.11,1.11,5.99,181.98,-1.02,5.81,4.81,5.84,178.72,-4.28,22.2,21.2,5.37,164.09,-18.91,-0.00222,4117,-0.00125,2312,-0.00173,3203,-0.00075,1398,-0.00507,9395,-0.00409,7590,-0.01266,23489,-0.01169,21684,-1390,-777,-1295,-682,-3488,-2875,-13325,-12712,10.57238,13.216,13.215,1.25005,0.99992,4.77452,4.66894,7246,7186
"12","E02003893 E02003895","E02003893","E02003895","Cornwall 012","Cornwall 016",354,3,5,298,37,1,0,5,0,5,0,0.84746,10.87,7.87,4.89,291.32001,-6.68,4.11,1.11,4.96,297.14001,-0.86,56.9,53.9,4.24,252.21001,-45.79,110.3,107.3,3.48,206.88,-91.12,-0.0039,7242,-0.00283,5253,-0.00134,2484,-0.00027,495,-0.01916,35549,-0.01809,33560,-0.02656,49269,-0.02548,47280,-2324,-1690,-852,-218,-12226,-11592,-23701,-23067,4.22867,4.977,4.977,1.17697,1,4.33996,4.33996,2534,2534
"13","E02003893 E02003896","E02003893","E02003896","Cornwall 012","Cornwall 017",335,9,2,268,38,1,0,11,1,5,0,2.68657,16.47,7.47,1.95,261.85999,-6.14,20.81,11.81,1.95,258.10999,-9.89,53.49,44.49,1.72,231.49001,-36.51,103.74,94.74,1.41,190.17,-77.83,-0.00622,11536,-0.00282,5226,-0.00651,12084,-0.00311,5774,-0.01869,34677,-0.01529,28367,-0.02404,44597,-0.02064,38287,-3554,-1603,-4531,-2580,-11479,-9528,-22268,-20317,4.4887,5.135,5.191,1.14398,1.01091,4.2259,4.45001,2506,2868
"14","E02003893 E02003897","E02003893","E02003897","Cornwall 012","Cornwall 022",40,1,1,31,4,0,0,1,0,2,0,2.5,1.16,0.16,1,30.87,-0.13,1.57,0.57,0.98,30.56,-0.44,1.03,0.03,1,30.97,-0.03,2.25,1.25,0.97,29.99,-1.01,-0.00125,2309,-0.00018,324,-0.00149,2766,-0.00042,781,-0.0011,2043,-3e-05,58,-0.0022,4085,-0.00113,2100,-1028,-147,-1379,-498,-915,-34,-2041,-1160,18.32812,22.469,23.866,1.22593,1.06217,4.57074,4.48756,11720,12422
"15","E02003893 E02003898","E02003893","E02003898","Cornwall 012","Cornwall 023",52,0,1,48,3,0,0,0,0,0,0,0,0.25,0.25,0.99,47.77,-0.23,0,0,1,48,0,0.73,0.73,0.98,47.32,-0.68,3.53,3.53,0.93,44.74,-3.26,-0.00027,501,-0.00027,501,0,0,0,0,-0.00075,1396,-0.00075,1396,-0.00289,5364,-0.00289,5364,-227,-227,0,0,-662,-662,-3194,-3194,13.85402,19.242,19.856,1.38891,1.03191,4.98389,4.87006,9786,9976
"16","E02003893 E02003899","E02003893","E02003899","Cornwall 012","Cornwall 025",19,0,4,14,1,0,0,0,0,0,0,0,0.08,0.08,3.98,13.94,-0.06,0,0,4,14,0,0.16,0.16,3.97,13.88,-0.12,1.03,1.03,3.78,13.24,-0.76,-7e-05,131,-7e-05,131,0,0,0,0,-0.00015,269,-0.00015,269,-0.00084,1556,-0.00084,1556,-66,-66,0,0,-143,-143,-911,-911,19.09175,23.435,25.79,1.22749,1.10049,4.56155,4.64909,12074,13462
"17","E02003893 E02003900","E02003893","E02003900","Cornwall 012","Cornwall 026",31,1,3,26,1,0,0,0,0,0,0,3.22581,1.13,0.13,2.99,25.88,-0.12,2.6,1.6,2.87,24.53,-1.47,1.03,0.03,2.99,25.98,-0.02,1.71,0.71,2.91,25.43,-0.57,-0.00117,2163,-0.00013,248,-0.00218,4048,-0.00115,2133,-0.00106,1973,-3e-05,58,-0.00167,3102,-0.00064,1187,-1265,-140,-2926,-1801,-1150,-25,-1828,-703,19.85345,24.051,25.508,1.21143,1.06058,4.43641,4.3555,12468,13192
"18","E02003893 E02003901","E02003893","E02003901","Cornwall 012","Cornwall 028",82,0,3,72,3,1,0,0,1,2,0,0,0.32,0.32,2.99,71.72,-0.28,0,0,3,72,0,1.13,1.13,2.96,71.01,-0.99,5.74,5.74,2.79,66.96,-5.04,-0.00034,638,-0.00034,638,0,0,0,0,-0.00115,2127,-0.00115,2127,-0.00403,7474,-0.00403,7474,-242,-242,0,0,-845,-845,-4307,-4307,13.50357,16.795,16.795,1.24375,1,5.76362,5.76362,10058,10058
"19","E02003893 E02003904","E02003893","E02003904","Cornwall 012","Cornwall 037",53,1,7,40,1,1,0,3,0,0,0,1.88679,1.19,0.19,6.97,39.85,-0.15,1,0,7,40,0,1.37,0.37,6.95,39.71,-0.29,3.32,2.32,6.71,38.18,-1.82,-0.00117,2162,-0.00019,352,-0.00098,1810,0,0,-0.00133,2472,-0.00036,662,-0.0026,4831,-0.00163,3021,-814,-135,-679,0,-951,-272,-2361,-1682,15.50728,18.965,22.607,1.22297,1.19204,6.24308,6.4051,11364,13718
"20","E02003893 E02003935","E02003893","E02003935","Cornwall 012","Cornwall 005",51,0,1,46,4,0,0,0,0,0,0,0,0.14,0.14,1,45.88,-0.12,0,0,1,46,0,0.38,0.38,0.99,45.66,-0.34,2.58,2.58,0.95,43.67,-2.33,-0.00015,274,-0.00015,274,0,0,0,0,-0.00039,724,-0.00039,724,-0.00219,4064,-0.00219,4064,-126,-126,0,0,-348,-348,-2377,-2377,17.48885,20.716,21.713,1.18453,1.04813,5.61885,5.64639,12386,12868
"21","E02003893 E02003936","E02003893","E02003936","Cornwall 012","Cornwall 006",99,0,0,88,8,0,0,0,0,3,0,0,0.39,0.39,0,87.65,-0.35,0,0,0,88,0,1.66,1.66,0,86.52,-1.48,8.09,8.09,0,80.8,-7.2,-0.00041,762,-0.00041,762,0,0,0,0,-0.00155,2872,-0.00155,2872,-0.00494,9168,-0.00494,9168,-250,-250,0,0,-1060,-1060,-5161,-5161,12.26172,14.107,15.58,1.15049,1.10442,6.72716,6.48909,8538,9512
"22","E02003893 E02003940","E02003893","E02003940","Cornwall 012","Cornwall 011",21,0,0,20,0,0,0,1,0,0,0,0,0.05,0.05,0,19.95,-0.05,0,0,0,20,0,0.1,0.1,0,19.9,-0.1,0.91,0.91,0,19.13,-0.87,-5e-05,100,-5e-05,100,0,0,0,0,-0.00011,195,-0.00011,195,-9e-04,1676,-9e-04,1676,-58,-58,0,0,-118,-118,-1073,-1073,18.44359,24.323,25.633,1.31878,1.05386,5.76409,5.78161,14500,15290
"23","E02003893 E02003941","E02003893","E02003941","Cornwall 012","Cornwall 014",84,0,0,78,4,0,0,0,0,1,1,0,0.33,0.33,0,77.69,-0.31,0,0,0,78,0,0.75,0.75,0,77.3,-0.7,4.63,4.63,0,73.69,-4.31,-0.00036,676,-0.00036,676,0,0,0,0,-0.00078,1443,-0.00078,1443,-0.00434,8044,-0.00434,8044,-362,-362,0,0,-810,-810,-5020,-5020,18.00102,23.767,22.859,1.32031,0.9618,4.57778,6.29074,12928,15220
"24","E02003893 E02003942","E02003893","E02003942","Cornwall 012","Cornwall 015",44,0,0,40,3,0,0,1,0,0,0,0,0.19,0.19,0,39.83,-0.17,0,0,0,40,0,0.37,0.37,0,39.67,-0.33,2.41,2.41,0,37.81,-2.19,-2e-04,374,-2e-04,374,0,0,0,0,-0.00038,710,-0.00038,710,-0.00241,4477,-0.00241,4477,-209,-209,0,0,-416,-416,-2731,-2731,19.25119,25.137,23.921,1.30574,0.95163,4.59482,6.40859,13686,16128
"25","E02003894 E02003895","E02003894","E02003895","Cornwall 013","Cornwall 016",312,0,8,267,24,0,0,10,0,3,0,0,1.47,1.47,7.96,265.73999,-1.26,0,0,8,267,0,6.58,6.58,7.83,261.37,-5.63,29.1,29.1,7.25,242.10001,-24.9,-0.00143,2651,-0.00143,2651,0,0,0,0,-0.00567,10519,-0.00567,10519,-0.01626,30175,-0.01626,30175,-852,-852,0,0,-3816,-3816,-16878,-16878,11.30998,13.33,15.085,1.1786,1.13166,5.55889,6.54292,8144,9912
"26","E02003894 E02003896","E02003894","E02003896","Cornwall 013","Cornwall 017",224,0,7,185,20,0,1,9,0,1,1,0,1.04,1.04,6.97,184.14,-0.86,0,0,7,185,0,4.49,4.49,6.86,181.28999,-3.71,20.1,20.1,6.37,168.39999,-16.6,-0.00105,1950,-0.00105,1950,0,0,0,0,-0.00401,7445,-0.00401,7445,-0.01162,21555,-0.01162,21555,-607,-607,0,0,-2615,-2615,-11700,-11700,12.09412,13.864,15.799,1.14634,1.13957,5.36642,6.43079,8260,10234
"27","E02003894 E02003897","E02003894","E02003897","Cornwall 013","Cornwall 022",161,1,4,144,6,0,0,3,0,3,0,0.62112,2.21,1.21,3.97,142.92,-1.08,1.48,0.48,3.98,143.59,-0.41,5.14,4.14,3.9,140.25999,-3.74,18.06,17.06,3.58,128.64,-15.36,-0.00224,4163,-0.00122,2268,-0.00136,2522,-0.00034,627,-0.00473,8781,-0.00371,6886,-0.01096,20325,-0.00993,18430,-1380,-762,-912,-294,-3250,-2632,-11434,-10816,11.57676,13.677,14.892,1.18142,1.08884,4.25532,4.8751,7116,8278
"28","E02003894 E02003898","E02003894","E02003898","Cornwall 013","Cornwall 023",158,4,3,130,18,0,0,2,0,1,0,2.53165,4.57,0.57,2.99,129.52,-0.48,6.2,2.2,2.95,128.17999,-1.82,4.07,0.07,3,129.94,-0.06,10.27,6.27,2.9,124.62,-5.38,-0.0049,9098,-0.00062,1142,-0.00593,11000,-0.00164,3044,-0.00436,8093,-7e-05,137,-0.00896,16617,-0.00467,8661,-3341,-427,-4527,-1613,-2969,-55,-7690,-4776,10.29375,17.495,17.775,1.69957,1.016,6.33324,6.3685,10286,10488
"29","E02003894 E02003899","E02003894","E02003899","Cornwall 013","Cornwall 025",56,0,3,49,1,0,0,1,0,2,0,0,0.44,0.44,2.98,48.61,-0.39,0,0,3,49,0,1.87,1.87,2.9,47.36,-1.64,6.4,6.4,2.66,43.4,-5.6,-0.00044,821,-0.00044,821,0,0,0,0,-0.00166,3070,-0.00166,3070,-0.00364,6744,-0.00364,6744,-274,-274,0,0,-1161,-1161,-3981,-3981,12.1615,14,14.853,1.15117,1.06093,3.72857,4.9283,6858,8076
"30","E02003894 E02003900","E02003894","E02003900","Cornwall 013","Cornwall 026",116,1,2,90,17,0,0,4,0,2,0,0.86207,1.91,0.91,1.98,89.29,-0.71,1.76,0.76,2,89.42,-0.58,3.7,2.7,1.94,87.87,-2.13,12.77,11.77,1.78,80.77,-9.23,-0.00206,3821,-0.00098,1814,-0.00165,3062,-0.00057,1055,-0.00364,6746,-0.00255,4739,-0.00835,15491,-0.00727,13484,-1094,-529,-992,-427,-2144,-1579,-7401,-6836,12.61041,14.581,15.434,1.15627,1.0585,3.59372,4.75573,7240,8458
"31","E02003894 E02003901","E02003894","E02003901","Cornwall 013","Cornwall 028",62,1,3,53,3,0,0,0,0,0,2,1.6129,1.15,0.15,2.99,52.87,-0.13,1,0,3,53,0,1.15,0.15,2.99,52.87,-0.13,2.73,1.73,2.9,51.53,-1.47,-0.00123,2274,-0.00016,297,-0.00107,1977,0,0,-0.00122,2263,-0.00015,286,-0.00274,5078,-0.00167,3101,-1291,-166,-1125,0,-1288,-163,-2974,-1849,19.93836,25.315,30.592,1.26966,1.20845,6.30851,5.15494,16228,17878
"32","E02003894 E02003902","E02003894","E02003902","Cornwall 013","Cornwall 029",15,0,2,12,0,0,0,0,0,1,0,0,0.07,0.07,1.99,11.95,-0.05,0,0,2,12,0,0.19,0.19,1.98,11.85,-0.15,0.96,0.96,1.88,11.23,-0.77,-7e-05,122,-7e-05,122,0,0,0,0,-0.00018,329,-0.00018,329,-0.00073,1360,-0.00073,1360,-52,-52,0,0,-149,-149,-772,-772,16.48,19.702,21.163,1.19551,1.07415,4.35996,4.83391,14524,15774
"33","E02003894 E02003903","E02003894","E02003903","Cornwall 013","Cornwall 034",39,0,1,33,2,0,0,0,0,2,1,0,0.14,0.14,1,32.88,-0.12,0,0,1,33,0,0.21,0.21,0.99,32.82,-0.18,1.99,1.99,0.95,31.32,-1.68,-0.00015,270,-0.00015,270,0,0,0,0,-0.00022,402,-0.00022,402,-0.00204,3789,-0.00204,3789,-162,-162,0,0,-253,-253,-2384,-2384,18.07514,26.903,24.702,1.4884,0.91819,6.37104,5.3356,16416,18244
"34","E02003894 E02003904","E02003894","E02003904","Cornwall 013","Cornwall 037",36,0,2,31,3,0,0,0,0,0,0,0,0.11,0.11,1.99,30.9,-0.1,0,0,2,31,0,0.21,0.21,1.99,30.82,-0.18,1.74,1.74,1.9,29.5,-1.5,-0.00012,220,-0.00012,220,0,0,0,0,-0.00021,386,-0.00021,386,-0.00175,3243,-0.00175,3243,-126,-126,0,0,-232,-232,-1949,-1949,19.49492,24.819,25.047,1.2731,1.00919,6.57158,6.67146,15710,16676
"35","E02003894 E02003935","E02003894","E02003935","Cornwall 013","Cornwall 005",126,0,6,100,10,0,1,7,1,1,0,0,0.69,0.69,5.97,99.45,-0.55,0,0,6,100,0,2.37,2.37,5.89,98.12,-1.88,10.2,10.2,5.51,91.91,-8.09,-0.00073,1356,-0.00073,1356,0,0,0,0,-0.0024,4449,-0.0024,4449,-0.00716,13284,-0.00716,13284,-474,-474,0,0,-1627,-1627,-6992,-6992,15.04629,17.088,19.448,1.13569,1.13811,4.26615,5.29103,9330,11418
"36","E02003894 E02003936","E02003894","E02003936","Cornwall 013","Cornwall 006",313,3,7,263,24,0,0,7,1,6,2,0.95847,5.57,2.57,6.94,260.82001,-2.18,5.98,2.98,6.93,260.48001,-2.52,9.94,6.94,6.84,257.10001,-5.9,33.79,30.79,6.31,236.87,-26.13,-0.00599,11106,-0.00276,5128,-0.00545,10112,-0.00223,4134,-0.0101,18737,-0.00688,12759,-0.02301,42698,-0.01979,36720,-3644,-1691,-3897,-1944,-6528,-4575,-22178,-20225,12.14468,14.948,15.737,1.23083,1.05278,3.47873,4.48624,7280,8308
"37","E02003895 E02003896","E02003895","E02003896","Cornwall 016","Cornwall 017",1020,16,292,618,70,6,0,8,4,6,0,1.56863,39.32,23.32,285.20999,603.65002,-14.35,32.92,16.92,287.01001,607.67999,-10.32,207.37,191.37,236.53,499.95999,-118.04,349.10001,333.10001,195.28,412.76001,-205.24001,-0.00188,3490,-0.00115,2124,-0.0013,2419,-0.00057,1053,-0.00926,17182,-0.00853,15816,-0.00578,10728,-0.00505,9362,-1805,-1084,-1500,-779,-9650,-8929,-16247,-15526,0.78898,1.488,1.155,1.88597,0.77621,4.09946,5.28139,790,1028
"38","E02003895 E02003897","E02003895","E02003897","Cornwall 016","Cornwall 022",85,1,1,79,0,0,0,2,0,2,0,1.17647,1.28,0.28,1,78.74,-0.26,2.4,1.4,0.96,77.68,-1.32,1.48,0.48,1,78.55,-0.45,4.96,3.96,0.97,75.28,-3.72,-0.00137,2539,-3e-04,554,-0.00211,3919,-0.00104,1934,-0.00157,2909,-5e-04,924,-0.00425,7881,-0.00318,5896,-1147,-247,-2160,-1260,-1324,-424,-4435,-3535,16.13518,18.626,20.024,1.15437,1.07506,5.75003,5.63823,10978,11740
"39","E02003895 E02003898","E02003895","E02003898","Cornwall 016","Cornwall 023",186,0,3,171,12,0,0,0,0,0,0,0,1.2,1.2,2.98,169.89999,-1.1,0,0,3,171,0,4.44,4.44,2.93,166.92,-4.08,17.25,17.25,2.72,155.14,-15.86,-0.00129,2394,-0.00129,2394,0,0,0,0,-0.00458,8499,-0.00458,8499,-0.01165,21605,-0.01165,21605,-887,-887,0,0,-3289,-3289,-12790,-12790,11.03846,15.617,17.299,1.41478,1.1077,5.20587,4.91936,8724,8960
"40","E02003895 E02003899","E02003895","E02003899","Cornwall 016","Cornwall 025",34,0,3,29,2,0,0,0,0,0,0,0,0.11,0.11,2.99,28.91,-0.09,0,0,3,29,0,0.3,0.3,2.97,28.75,-0.25,1.86,1.86,2.83,27.42,-1.58,-0.00011,202,-0.00011,202,0,0,0,0,-0.00029,545,-0.00029,545,-0.00147,2729,-0.00147,2729,-89,-89,0,0,-253,-253,-1581,-1581,16.90902,19.592,21.948,1.15867,1.12025,5.68089,5.72717,11332,12780
"41","E02003895 E02003900","E02003895","E02003900","Cornwall 016","Cornwall 026",68,0,4,58,3,0,0,3,0,0,0,0,0.23,0.23,3.99,57.8,-0.2,0,0,4,58,0,0.63,0.63,3.96,57.46,-0.54,3.8,3.8,3.78,54.76,-3.24,-0.00024,451,-0.00024,451,0,0,0,0,-0.00063,1167,-0.00063,1167,-0.003,5561,-0.003,5561,-204,-204,0,0,-552,-552,-3347,-3347,17.74278,20.208,21.666,1.13894,1.07215,5.49782,5.39555,11726,12510
"42","E02003895 E02003901","E02003895","E02003901","Cornwall 016","Cornwall 028",329,1,16,285,21,0,0,3,0,2,1,0.30395,2.27,1.27,15.94,283.89999,-1.1,2.03,1.03,15.96,284.10999,-0.89,6.21,5.21,15.74,280.47,-4.53,30.11,29.11,14.58,259.70999,-25.29,-0.00197,3646,-0.00109,2027,-0.0015,2779,-0.00063,1160,-0.00485,8993,-0.00397,7374,-0.01511,28038,-0.01424,26419,-1211,-675,-1087,-551,-3318,-2782,-16088,-15552,9.72643,12.189,12.226,1.25318,1.00304,7.10477,7.11598,8440,8952
"43","E02003895 E02003904","E02003895","E02003904","Cornwall 016","Cornwall 037",175,0,9,143,10,1,0,8,0,4,0,0,0.82,0.82,8.96,142.33,-0.67,0,0,9,143,0,3.63,3.63,8.81,140.03,-2.97,16.11,16.11,8.17,129.84,-13.16,-8e-04,1482,-8e-04,1482,0,0,0,0,-0.00312,5781,-0.00312,5781,-0.00886,16435,-0.00886,16435,-463,-463,0,0,-2043,-2043,-9060,-9060,11.3102,13.775,16.211,1.21793,1.17684,6.85299,7.34069,9206,11410
"44","E02003895 E02003936","E02003895","E02003936","Cornwall 016","Cornwall 006",65,0,0,61,1,0,0,0,0,3,0,0,0.22,0.22,0,60.8,-0.2,0,0,0,61,0,0.64,0.64,0,60.4,-0.6,3.77,3.77,0,57.46,-3.54,-0.00024,440,-0.00024,440,0,0,0,0,-0.00067,1240,-0.00067,1240,-0.00313,5797,-0.00313,5797,-198,-198,0,0,-585,-585,-3446,-3446,16.13494,19.146,22.108,1.18662,1.15471,5.59386,4.9801,11182,12456
"45","E02003895 E02003940","E02003895","E02003940","Cornwall 016","Cornwall 011",37,0,2,31,4,0,0,0,0,0,0,0,0.15,0.15,1.99,30.88,-0.12,0,0,2,31,0,0.26,0.26,1.99,30.78,-0.22,1.96,1.96,1.89,29.36,-1.64,-0.00016,287,-0.00016,287,0,0,0,0,-0.00026,479,-0.00026,479,-0.00197,3652,-0.00197,3652,-164,-164,0,0,-287,-287,-2191,-2191,19.67919,25.707,26.726,1.3063,1.03964,5.84277,5.90436,15738,16684
"46","E02003895 E02003941","E02003895","E02003941","Cornwall 016","Cornwall 014",127,0,1,115,6,1,0,2,0,2,0,0,0.51,0.51,1,114.54,-0.46,0,0,1,115,0,1.22,1.22,0.99,113.9,-1.1,7.21,7.21,0.94,108.47,-6.53,-0.00055,1022,-0.00055,1022,0,0,0,0,-0.00127,2350,-0.00127,2350,-0.00642,11902,-0.00642,11902,-511,-511,0,0,-1230,-1230,-7275,-7275,18.37155,22.625,23.952,1.23152,1.05865,4.99448,6.40448,13210,16614
"47","E02003895 E02003942","E02003895","E02003942","Cornwall 016","Cornwall 015",50,1,1,40,2,0,0,5,0,1,0,2,1.2,0.2,1,39.83,-0.17,1.63,0.63,0.98,39.52,-0.48,1.16,0.16,1,39.85,-0.15,2.75,1.75,0.98,38.53,-1.47,-0.00129,2384,-0.00022,406,-0.00154,2848,-0.00047,870,-0.00124,2293,-0.00017,315,-0.00273,5066,-0.00166,3088,-1114,-198,-1494,-578,-1091,-175,-2679,-1763,19.65072,23.995,25.014,1.22108,1.04247,4.98854,6.51235,13968,17522
"48","E02003895 E02003960","E02003895","E02003960","Cornwall 016","Cornwall 035",23,0,4,18,0,1,0,0,0,0,0,0,0.08,0.08,3.98,17.94,-0.06,0,0,4,18,0,0.13,0.13,3.97,17.9,-0.1,1.15,1.15,3.79,17.11,-0.89,-8e-05,139,-8e-05,139,0,0,0,0,-0.00012,222,-0.00012,222,-0.00106,1962,-0.00106,1962,-82,-82,0,0,-136,-136,-1216,-1216,19.99159,26.413,29.164,1.32121,1.10415,5.11112,5.9594,15018,18006
"49","E02003896 E02003897","E02003896","E02003897","Cornwall 017","Cornwall 022",48,0,2,41,1,0,0,2,0,2,0,0,0.16,0.16,1.99,40.86,-0.14,0,0,2,41,0,0.46,0.46,1.98,40.61,-0.39,2.73,2.73,1.89,38.67,-2.33,-0.00017,311,-0.00017,311,0,0,0,0,-0.00046,857,-0.00046,857,-0.00222,4117,-0.00222,4117,-133,-133,0,0,-384,-384,-2304,-2304,16.75338,19.434,20.85,1.16,1.07286,5.55727,5.61151,11508,12380
"50","E02003896 E02003898","E02003896","E02003898","Cornwall 017","Cornwall 023",124,0,2,107,10,1,0,1,0,3,0,0,0.76,0.76,1.99,106.34,-0.66,0,0,2,107,0,2.81,2.81,1.95,104.58,-2.42,11.18,11.18,1.82,97.35,-9.65,-0.00082,1527,-0.00082,1527,0,0,0,0,-0.0029,5376,-0.0029,5376,-0.00761,14124,-0.00761,14124,-535,-535,0,0,-1969,-1969,-7846,-7846,11.57864,16.124,18.125,1.39256,1.1241,5.28405,4.92138,8810,9600
