"","id","msoa1","msoa2","geo_label1","geo_label2","all","bicycle","foot","car_driver","car_passenger","train","light_rail","bus","taxi","motorbike","other","clc","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","dist","dist_fast","dist_quiet","cirquity","distq_f","avslope","avslope_q","time_fast","time_quiet"
"1","E02002590 E02002591","E02002590","E02002591","Warrington 001","Warrington 002",307,4,72,186,25,1,0,18,0,1,0,1.30293,27.35,23.35,66.45,171.67,-14.33,10.86,6.86,70.39,181.8,-4.2,146.92999,142.92999,38.03,98.26,-87.74,148.67,144.67,37.62,97.19,-88.81,-0.00135,2506,-0.00115,2137,-5e-04,924,-3e-04,555,-0.00675,12529,-0.00655,12160,-0.00331,6133,-0.00311,5764,-1011,-865,-399,-253,-5444,-5298,-5508,-5362,0.99421,1.188,1.188,1.19491,1,1.09428,1.09428,446,446
"2","E02002590 E02002592","E02002590","E02002592","Warrington 001","Warrington 003",69,1,0,57,6,1,0,3,1,0,0,1.44928,3.53,2.53,0,54.88,-2.12,2.13,1.13,0,56.01,-0.99,12.92,11.92,0,47.03,-9.97,20.51,19.51,0,40.67,-16.33,-0.00254,4705,-0.00182,3371,-0.00143,2658,-0.00071,1324,-0.00868,16112,-0.00797,14778,-0.00904,16765,-0.00832,15431,-1436,-1018,-892,-474,-5206,-4788,-8264,-7846,8.32929,9.442,9.442,1.13359,1,1.53569,1.53569,4066,4066
"3","E02002590 E02002593","E02002590","E02002593","Warrington 001","Warrington 004",233,12,17,187,10,2,0,3,0,1,1,5.15021,27.82,15.82,15.78,173.61,-13.39,14.89,2.89,16.77,184.53,-2.47,91.78,79.78,10.88,119.53,-67.47,109.46,97.46,9.51,104.57,-82.43,-0.00759,14087,-0.00432,8019,-0.00396,7339,-0.00069,1271,-0.02389,44322,-0.02062,38254,-0.02003,37164,-0.01676,31096,-5045,-2865,-2709,-529,-16621,-14441,-19825,-17645,3.18378,4.216,5.425,1.32421,1.28676,1.13852,1.32719,1850,2182
"4","E02002590 E02002594","E02002590","E02002594","Warrington 001","Warrington 005",89,2,2,74,8,0,0,3,0,0,0,2.24719,7.83,5.83,1.86,69.05,-4.95,4.5,2.5,1.88,71.97,-2.03,32.85,30.85,1.32,47.71,-26.29,40.17,38.17,1.15,41.49,-32.51,-0.00287,5325,-0.00216,4007,-0.00149,2762,-0.00078,1444,-0.01135,21049,-0.01064,19731,-0.00888,16473,-0.00817,15155,-1707,-1283,-954,-530,-7241,-6817,-8856,-8432,3.59564,5.07,6.114,1.41004,1.20592,1.20316,1.29212,2106,2716
"5","E02002590 E02002595","E02002590","E02002595","Warrington 001","Warrington 006",41,1,2,35,1,0,0,2,0,0,0,2.43902,3.01,2.01,1.9,33.24,-1.76,2,1,1.96,34.15,-0.85,10.25,9.25,1.52,26.88,-8.12,14.29,13.29,1.32,23.35,-11.65,-0.00187,3476,-0.00124,2308,-0.00118,2192,-0.00055,1024,-0.00591,10961,-0.00528,9793,-0.0053,9831,-0.00467,8663,-1145,-771,-748,-374,-3923,-3549,-5470,-5096,5.68325,8.536,8.428,1.50196,0.98735,1.10122,1.13906,3388,3506
"6","E02002590 E02002596","E02002590","E02002596","Warrington 001","Warrington 007",72,2,1,60,6,0,2,1,0,0,0,2.77778,6.79,4.79,0.93,55.89,-4.11,4.72,2.72,0.95,57.61,-2.39,25.88,23.88,0.66,39.56,-20.44,31.7,29.7,0.58,34.57,-25.43,-0.00297,5512,-0.0021,3895,-0.00191,3544,-0.00104,1927,-0.01059,19648,-0.00972,18031,-0.00847,15720,-0.0076,14103,-1758,-1232,-1242,-716,-6660,-6134,-8156,-7630,4.38284,5.895,5.895,1.34502,1,1.4419,1.4419,2412,2412
"7","E02002590 E02002597","E02002590","E02002597","Warrington 001","Warrington 008",32,3,1,22,1,0,0,5,0,0,0,9.375,4.68,1.68,0.96,20.75,-1.25,3,0,1,22,0,9,6,0.75,17.39,-4.61,12.19,9.19,0.64,14.98,-7.02,-0.00257,4773,-9e-04,1669,-0.00167,3104,0,0,-0.00459,8521,-0.00292,5417,-0.00444,8234,-0.00277,5130,-1263,-465,-798,0,-2507,-1709,-3404,-2606,5.4035,7.224,7.224,1.33691,1,1.25969,1.25969,2890,2890
"8","E02002590 E02002598","E02002590","E02002598","Warrington 001","Warrington 009",68,0,1,63,1,0,0,2,1,0,0,0,1.78,1.78,0.98,61.34,-1.66,0,0,1,63,0,7.85,7.85,0.9,55.66,-7.34,14.63,14.63,0.8,49.37,-13.63,-0.00167,3089,-0.00167,3089,0,0,0,0,-0.00663,12301,-0.00663,12301,-0.00807,14972,-0.00807,14972,-1046,-1046,0,0,-4615,-4615,-8596,-8596,9.3763,11.874,11.971,1.26638,1.00817,1.38959,1.11102,5540,6394
"9","E02002590 E02002599","E02002590","E02002599","Warrington 001","Warrington 010",30,0,1,25,1,0,0,3,0,0,0,0,0.99,0.99,0.97,24.17,-0.83,0,0,1,25,0,4.67,4.67,0.85,21.1,-3.9,7.79,7.79,0.74,18.49,-6.51,-0.00081,1494,-0.00081,1494,0,0,0,0,-0.00343,6360,-0.00343,6360,-0.00369,6839,-0.00369,6839,-461,-461,0,0,-2181,-2181,-3637,-3637,8.69257,11.131,11.235,1.28052,1.00934,1.40149,1.06809,5210,6262
"10","E02002590 E02002600","E02002590","E02002600","Warrington 001","Warrington 011",54,0,1,49,3,0,0,1,0,0,0,0,2.81,2.81,0.95,46.45,-2.55,0,0,1,49,0,14.41,14.41,0.73,35.93,-13.07,19.61,19.61,0.63,31.21,-17.79,-0.00172,3193,-0.00172,3193,0,0,0,0,-0.00819,15201,-0.00819,15201,-0.00702,13022,-0.00702,13022,-1067,-1067,0,0,-5473,-5473,-7449,-7449,6.59704,8.269,8.272,1.25344,1.00036,1.19724,1.19681,3314,3314
"11","E02002590 E02002601","E02002590","E02002601","Warrington 001","Warrington 012",42,1,2,33,3,0,0,3,0,0,0,2.38095,3.35,2.35,1.88,31.12,-1.88,1.71,0.71,1.87,32.55,-0.45,12.17,11.17,1.55,23.89,-9.11,16.08,15.08,1.35,20.76,-12.24,-0.00173,3214,-0.00128,2380,-0.00073,1356,-0.00028,522,-0.0062,11507,-0.00575,10673,-0.00521,9665,-0.00476,8831,-982,-734,-425,-177,-3814,-3566,-5036,-4788,6.00173,7.691,7.691,1.28146,1,1.35223,1.35223,3114,3114
"12","E02002590 E02002602","E02002590","E02002602","Warrington 001","Warrington 013",79,1,3,67,3,0,0,5,0,0,0,1.26582,3.85,2.85,2.89,64.55,-2.45,2.82,1.82,2.94,65.42,-1.58,14.29,13.29,2.48,55.59,-11.41,22.86,21.86,2.15,48.24,-18.76,-0.00277,5137,-0.00205,3795,-0.00188,3479,-0.00115,2137,-0.00957,17747,-0.00884,16405,-0.00978,18150,-0.00906,16808,-1654,-1220,-1223,-789,-6123,-5689,-9794,-9360,7.81021,9.826,10.788,1.2581,1.0979,1.27214,0.9733,4324,4374
"13","E02002590 E02002603","E02002590","E02002603","Warrington 001","Warrington 014",89,1,0,70,12,1,0,3,0,2,0,1.1236,5.61,4.61,0,66.33,-3.67,2.05,1.05,0,69.16,-0.84,23.67,22.67,0,51.97,-18.03,32.27,31.27,0,45.13,-24.87,-0.00352,6525,-0.00289,5358,-0.00121,2241,-0.00058,1074,-0.01382,25639,-0.01319,24472,-0.01224,22708,-0.01161,21541,-1870,-1534,-689,-353,-7880,-7544,-10743,-10407,5.85572,7.892,7.891,1.34774,0.99987,1.43183,1.30528,3492,3818
"14","E02002590 E02002604","E02002590","E02002604","Warrington 001","Warrington 015",14,0,0,13,1,0,0,0,0,0,0,0,0.32,0.32,0,12.7,-0.3,0,0,0,13,0,1.3,1.3,0,11.79,-1.21,2.6,2.6,0,10.59,-2.41,-0.00034,636,-0.00034,636,0,0,0,0,-0.00125,2319,-0.00125,2319,-0.00164,3039,-0.00164,3039,-212,-212,0,0,-857,-857,-1714,-1714,10.8752,15.483,16.59,1.4237,1.0715,1.45967,0.96444,6630,7040
"15","E02002590 E02002605","E02002590","E02002605","Warrington 001","Warrington 016",20,0,1,17,0,1,0,1,0,0,0,0,0.55,0.55,0.97,16.54,-0.46,0,0,1,17,0,2.38,2.38,0.87,15,-2,4.34,4.34,0.78,13.33,-3.67,-0.00051,945,-0.00051,945,0,0,0,0,-0.00198,3681,-0.00198,3681,-0.00232,4302,-0.00232,4302,-297,-297,0,0,-1289,-1289,-2364,-2364,9.85008,12.89,13.47,1.30862,1.045,1.23351,1.07647,5694,5968
"16","E02002590 E02002606","E02002590","E02002606","Warrington 001","Warrington 017",75,0,3,52,6,0,0,11,1,2,0,0,3.23,3.23,2.87,49.76,-2.24,0,0,3,52,0,15.92,15.92,2.37,40.97,-11.03,23.53,23.53,2.06,35.69,-16.31,-0.00226,4198,-0.00226,4198,0,0,0,0,-0.01035,19203,-0.01035,19203,-0.00952,17657,-0.00952,17657,-1092,-1092,0,0,-5387,-5387,-7967,-7967,7.76837,9.626,9.595,1.23913,0.99678,1.18429,1.22981,3918,4448
"17","E02002590 E02002607","E02002590","E02002607","Warrington 001","Warrington 018",158,3,5,116,12,1,0,18,2,1,0,1.89873,8.79,5.79,4.81,111.67,-4.33,6.53,3.53,4.95,113.27,-2.73,27.09,24.09,4.17,98.05,-17.95,43.1,40.1,3.66,86.05,-29.95,-0.00712,13208,-0.00466,8652,-0.00499,9256,-0.00253,4700,-0.01993,36979,-0.01748,32423,-0.02122,39365,-0.01876,34809,-3686,-2401,-2799,-1514,-11241,-9956,-17894,-16609,8.7408,10.959,10.844,1.25377,0.98951,1.13149,1.1066,4604,5022
"18","E02002590 E02002608","E02002590","E02002608","Warrington 001","Warrington 019",18,1,0,14,2,0,0,1,0,0,0,5.55556,1.3,0.3,0,13.75,-0.25,1.29,0.29,0,13.75,-0.25,1.57,0.57,0,13.56,-0.44,2.74,1.74,0,12.61,-1.39,-0.00145,2697,-0.00034,626,-0.0014,2589,-0.00028,518,-0.00171,3171,-0.00059,1100,-0.0023,4261,-0.00118,2190,-844,-189,-842,-187,-995,-340,-1718,-1063,11.4137,14.849,16.103,1.30098,1.08445,1.192,1.02465,6518,6868
"19","E02002590 E02002609","E02002590","E02002609","Warrington 001","Warrington 020",23,0,0,17,3,0,0,3,0,0,0,0,0.86,0.86,0,16.38,-0.62,0,0,0,17,0,4.22,4.22,0,13.93,-3.07,6.64,6.64,0,12.13,-4.87,-0.00066,1216,-0.00066,1216,0,0,0,0,-0.00294,5445,-0.00294,5445,-0.00301,5577,-0.00301,5577,-317,-317,0,0,-1565,-1565,-2485,-2485,7.94084,10.047,10.178,1.26523,1.01304,1.15457,1.27726,4096,4238
"20","E02002590 E02002610","E02002590","E02002610","Warrington 001","Warrington 021",26,0,1,23,2,0,0,0,0,0,0,0,0.56,0.56,0.98,22.51,-0.49,0,0,1,23,0,2.22,2.22,0.91,21.04,-1.96,4.6,4.6,0.82,18.93,-4.07,-0.00058,1083,-0.00058,1083,0,0,0,0,-0.0021,3898,-0.0021,3898,-0.00282,5225,-0.00282,5225,-356,-356,0,0,-1419,-1419,-2941,-2941,8.58395,14.207,16.607,1.65507,1.16893,1.23179,1.6198,5998,10308
"21","E02002590 E02002611","E02002590","E02002611","Warrington 001","Warrington 022",19,0,1,12,2,1,0,3,0,0,0,0,0.58,0.58,0.97,11.63,-0.37,0,0,1,12,0,2.63,2.63,0.86,10.33,-1.67,4.56,4.56,0.76,9.12,-2.88,-0.00049,916,-0.00049,916,0,0,0,0,-0.00202,3752,-0.00202,3752,-0.00224,4159,-0.00224,4159,-219,-219,0,0,-995,-995,-1724,-1724,8.36507,11.601,11.941,1.38684,1.02931,1.23265,1.39854,4902,5708
"22","E02002590 E02002612","E02002590","E02002612","Warrington 001","Warrington 023",26,0,2,22,1,0,0,0,0,0,1,0,0.73,0.73,1.94,21.38,-0.62,0,0,2,22,0,3.23,3.23,1.75,19.26,-2.74,5.82,5.82,1.55,17.07,-4.93,-0.00065,1204,-0.00065,1204,0,0,0,0,-0.00257,4771,-0.00257,4771,-0.00292,5425,-0.00292,5425,-390,-390,0,0,-1720,-1720,-3098,-3098,9.70943,12.399,12.318,1.27701,0.99347,1.41947,1.44504,5444,5796
"23","E02002590 E02002613","E02002590","E02002613","Warrington 001","Warrington 024",26,0,0,22,2,1,0,1,0,0,0,0,0.57,0.57,0,21.52,-0.48,0,0,0,22,0,2.32,2.32,0,20.04,-1.96,4.76,4.76,0,17.97,-4.03,-6e-04,1109,-6e-04,1109,0,0,0,0,-0.00221,4099,-0.00221,4099,-0.00297,5509,-0.00297,5509,-337,-337,0,0,-1381,-1381,-2831,-2831,10.76545,13.872,14.046,1.28857,1.01254,1.59314,1.63036,6542,6680
"24","E02002591 E02002592","E02002591","E02002592","Warrington 002","Warrington 003",56,0,1,48,4,0,0,3,0,0,0,0,1.8,1.8,0.97,46.45,-1.55,0,0,1,48,0,8.73,8.73,0.84,40.51,-7.49,14.73,14.73,0.74,35.37,-12.63,-0.00144,2663,-0.00144,2663,0,0,0,0,-0.00628,11648,-0.00628,11648,-0.00688,12764,-0.00688,12764,-835,-835,0,0,-4048,-4048,-6830,-6830,9.21726,10.63,10.63,1.15327,1,1.48636,1.48636,4620,4620
"25","E02002591 E02002593","E02002591","E02002593","Warrington 002","Warrington 004",233,9,13,174,21,1,0,13,2,0,0,3.86266,24.56,15.56,12.08,161.92999,-12.07,17.93,8.93,11.81,167.99001,-6.01,90.08,81.08,8.34,110.97,-63.03,108.35,99.35,7.28,96.77,-77.23,-0.0072,13364,-0.00461,8552,-0.00453,8411,-0.00194,3599,-0.02541,47145,-0.02282,42333,-0.0216,40081,-0.01901,35269,-4214,-2692,-2858,-1336,-15586,-14064,-18753,-17231,3.22062,4.395,6.613,1.36464,1.50466,1.1149,1.28535,1980,2736
"26","E02002591 E02002594","E02002591","E02002594","Warrington 002","Warrington 005",57,3,1,42,5,0,0,6,0,0,0,5.26316,6.66,3.66,0.94,39.16,-2.84,8.06,5.06,1,38.08,-3.92,20.59,17.59,0.64,28.31,-13.69,25.41,22.41,0.55,24.56,-17.44,-0.00262,4853,-0.00142,2628,-0.00297,5514,-0.00177,3289,-0.00749,13895,-0.00629,11670,-0.0062,11506,-0.005,9281,-1381,-760,-1669,-1048,-4287,-3666,-5290,-4669,3.28217,5.249,5.046,1.59924,0.96133,1.18118,1.2287,2236,2306
"27","E02002591 E02002595","E02002591","E02002595","Warrington 002","Warrington 006",20,0,1,15,1,0,0,3,0,0,0,0,0.87,0.87,0.96,14.34,-0.66,0,0,1,15,0,4.29,4.29,0.79,11.79,-3.21,6.32,6.32,0.69,10.29,-4.71,-6e-04,1111,-6e-04,1111,0,0,0,0,-0.00274,5088,-0.00274,5088,-0.00249,4627,-0.00249,4627,-325,-325,0,0,-1589,-1589,-2329,-2329,6.27024,9.023,9.616,1.43902,1.06572,0.87554,1.13353,3752,4060
"28","E02002591 E02002596","E02002591","E02002596","Warrington 002","Warrington 007",31,2,0,23,4,0,0,2,0,0,0,6.45161,3.85,1.85,0,21.51,-1.49,2,0,0,23,0,10.01,8.01,0,16.97,-6.03,12.81,10.81,0,14.71,-8.29,-0.002,3708,-0.00092,1708,-0.00108,2000,0,0,-0.0047,8721,-0.00362,6721,-0.00422,7824,-0.00314,5824,-1220,-500,-720,0,-2697,-1977,-3458,-2738,4.69297,6.382,7.083,1.35991,1.10984,1.09683,1.38359,2776,2966
"29","E02002591 E02002597","E02002591","E02002597","Warrington 002","Warrington 008",21,0,2,17,1,1,0,0,0,0,0,0,1.06,1.06,1.91,16.13,-0.87,0,0,2,17,0,5.65,5.65,1.5,12.39,-4.61,7.77,7.77,1.28,10.69,-6.31,-0.00055,1014,-0.00055,1014,0,0,0,0,-0.00269,4983,-0.00269,4983,-0.00216,4006,-0.00216,4006,-336,-336,0,0,-1788,-1788,-2450,-2450,5.83258,7.711,8.412,1.32206,1.09091,0.9856,1.23633,3254,3444
"30","E02002591 E02002598","E02002591","E02002598","Warrington 002","Warrington 009",51,2,0,47,1,0,0,1,0,0,0,3.92157,3.07,1.07,0,45.97,-1.03,3.58,1.58,0,45.49,-1.51,4.33,2.33,0,44.75,-2.25,9.08,7.08,0,40.2,-6.8,-0.0033,6122,-0.00114,2113,-0.00366,6789,-0.0015,2780,-0.00438,8116,-0.00221,4107,-0.0066,12251,-0.00444,8242,-2101,-728,-2460,-1087,-2951,-1578,-6183,-4810,10.07931,13.062,13.159,1.29592,1.00743,1.36273,1.10951,6094,6948
"31","E02002591 E02002599","E02002591","E02002599","Warrington 002","Warrington 010",21,0,0,19,0,1,0,1,0,0,0,0,0.54,0.54,0,18.51,-0.49,0,0,0,19,0,2.4,2.4,0,16.82,-2.18,4.5,4.5,0,14.92,-4.08,-0.00051,947,-0.00051,947,0,0,0,0,-0.00204,3792,-0.00204,3792,-0.00252,4669,-0.00252,4669,-309,-309,0,0,-1371,-1371,-2570,-2570,9.34,12.319,12.423,1.31895,1.00844,1.37186,1.07059,5764,6816
"32","E02002591 E02002600","E02002591","E02002600","Warrington 002","Warrington 011",41,1,2,29,6,0,0,3,0,0,0,2.43902,2.87,1.87,1.9,27.66,-1.34,1.75,0.75,1.94,28.6,-0.4,9.38,8.38,1.59,22.85,-6.15,13.5,12.5,1.38,19.88,-9.12,-0.00182,3378,-0.00123,2279,-0.00098,1821,-0.00039,722,-0.00574,10652,-0.00515,9553,-0.00532,9872,-0.00473,8773,-860,-627,-408,-175,-3130,-2897,-4524,-4291,6.99977,8.813,9.46,1.25904,1.07341,1.0893,1.18393,3746,3868
"33","E02002591 E02002601","E02002591","E02002601","Warrington 002","Warrington 012",39,0,3,27,5,0,0,3,1,0,0,0,1.95,1.95,2.85,25.65,-1.35,0,0,3,27,0,10.08,10.08,2.23,20.05,-6.95,13.93,13.93,1.93,17.39,-9.61,-0.00112,2073,-0.00112,2073,0,0,0,0,-0.00533,9887,-0.00533,9887,-0.00442,8204,-0.00442,8204,-569,-569,0,0,-2934,-2934,-4062,-4062,6.21524,8.235,8.879,1.32497,1.0782,1.22647,1.31772,3546,3668
"34","E02002591 E02002602","E02002591","E02002602","Warrington 002","Warrington 013",54,0,2,45,3,0,0,4,0,0,0,0,1.7,1.7,1.94,43.58,-1.42,0,0,2,45,0,8.07,8.07,1.7,38.28,-6.72,13.76,13.76,1.49,33.53,-11.47,-0.00138,2560,-0.00138,2560,0,0,0,0,-0.0059,10946,-0.0059,10946,-0.00647,12004,-0.00647,12004,-793,-793,0,0,-3765,-3765,-6423,-6423,8.35715,11.014,11.976,1.31791,1.08734,1.25295,0.9853,4878,4928
"35","E02002591 E02002603","E02002591","E02002603","Warrington 002","Warrington 014",97,4,0,80,7,0,0,3,0,3,0,4.12371,8.65,4.65,0,76,-4,8.83,4.83,0,75.61,-4.39,23.79,19.79,0,63.01,-16.99,33.53,29.53,0,54.62,-25.38,-0.00565,10474,-0.00303,5629,-0.00537,9968,-0.00276,5123,-0.01462,27127,-0.01201,22282,-0.01405,26066,-0.01144,21221,-3257,-1743,-3428,-1914,-8929,-7415,-12591,-11077,5.75648,8.219,9.079,1.42778,1.10464,1.16803,1.27767,3816,4372
"36","E02002591 E02002606","E02002591","E02002606","Warrington 002","Warrington 017",43,1,4,28,5,0,0,4,1,0,0,2.32558,2.63,1.63,3.84,26.92,-1.08,2.07,1.07,3.92,27.23,-0.77,7.76,6.76,3.32,23.56,-4.44,12.16,11.16,2.9,20.63,-7.37,-0.00195,3623,-0.00118,2195,-0.00149,2768,-0.00072,1340,-0.00519,9627,-0.00442,8199,-0.00525,9739,-0.00448,8311,-971,-579,-812,-420,-2760,-2368,-4336,-3944,8.08344,10.17,10.783,1.25813,1.06028,1.09145,1.21488,4350,5002
"37","E02002591 E02002607","E02002591","E02002607","Warrington 002","Warrington 018",142,2,8,99,7,4,0,21,0,1,0,1.40845,6.52,4.52,7.74,95.8,-3.2,2.74,0.74,7.96,98.49,-0.51,20.12,18.12,6.96,86.13,-12.87,34.21,32.21,6.16,76.16,-22.84,-0.00569,10552,-0.00393,7293,-0.00233,4314,-0.00057,1055,-0.01594,29565,-0.01418,26306,-0.01784,33096,-0.01608,29837,-2801,-1948,-1168,-315,-8680,-7827,-14753,-13900,9.14401,11.503,12.032,1.25798,1.04599,1.0519,1.10539,5036,5576
"38","E02002591 E02002609","E02002591","E02002609","Warrington 002","Warrington 020",15,0,0,10,0,0,0,4,0,0,1,0,0.47,0.47,0,9.69,-0.31,0,0,0,10,0,2.32,2.32,0,8.46,-1.54,3.95,3.95,0,7.37,-2.63,-0.00037,694,-0.00037,694,0,0,0,0,-0.00167,3090,-0.00167,3090,-0.00186,3455,-0.00186,3455,-166,-166,0,0,-820,-820,-1399,-1399,8.06104,10.591,11.366,1.31385,1.07318,1.06694,1.25814,4528,4792
"39","E02002591 E02002610","E02002591","E02002610","Warrington 002","Warrington 021",45,0,3,37,3,1,0,0,0,1,0,0,1.11,1.11,2.93,36.09,-0.91,0,0,3,37,0,4.62,4.62,2.69,33.2,-3.8,8.92,8.92,2.41,29.67,-7.33,-0.00107,1993,-0.00107,1993,0,0,0,0,-0.00403,7485,-0.00403,7485,-0.00496,9194,-0.00496,9194,-621,-621,0,0,-2587,-2587,-4992,-4992,8.02692,13.399,14.625,1.66926,1.0915,1.20905,1.18974,5700,7238
"40","E02002591 E02002611","E02002591","E02002611","Warrington 002","Warrington 022",16,1,1,12,0,0,0,2,0,0,0,6.25,1.39,0.39,0.98,11.69,-0.31,4,3,1,9.86,-2.14,1.89,0.89,0.89,11.22,-0.78,3.43,2.43,0.79,9.99,-2.01,-0.00126,2344,-0.00034,632,-0.00335,6211,-0.00243,4499,-0.00158,2934,-0.00066,1222,-0.00209,3874,-0.00117,2162,-630,-190,-1761,-1321,-918,-478,-1673,-1233,8.34219,12.145,13.129,1.45585,1.08102,1.15274,1.37101,5334,6262
"41","E02002591 E02002612","E02002591","E02002612","Warrington 002","Warrington 023",22,0,3,17,0,0,0,1,0,1,0,0,0.52,0.52,2.93,16.59,-0.41,0,0,3,17,0,2.19,2.19,2.71,15.29,-1.71,4.3,4.3,2.42,13.67,-3.33,-0.00049,899,-0.00049,899,0,0,0,0,-0.00181,3359,-0.00181,3359,-0.00217,4029,-0.00217,4029,-282,-282,0,0,-1171,-1171,-2279,-2279,9.87286,12.943,13.506,1.31097,1.0435,1.33663,1.41419,5876,6350
"42","E02002591 E02002613","E02002591","E02002613","Warrington 002","Warrington 024",21,0,0,19,1,0,0,1,0,0,0,0,0.4,0.4,0,18.64,-0.36,0,0,0,19,0,1.53,1.53,0,17.61,-1.39,3.38,3.38,0,15.94,-3.06,-0.00045,830,-0.00045,830,0,0,0,0,-0.00158,2927,-0.00158,2927,-0.00228,4229,-0.00228,4229,-275,-275,0,0,-1053,-1053,-2322,-2322,10.77909,14.416,15.234,1.3374,1.05674,1.51221,1.58855,6974,7234
"43","E02002591 E02003859","E02002591","E02003859","Warrington 002","Cheshire East 007",19,0,0,19,0,0,0,0,0,0,0,0,0.19,0.19,0,18.81,-0.19,0,0,0,19,0,0.35,0.35,0,18.65,-0.35,1.44,1.44,0,17.56,-1.44,-0.00021,391,-0.00021,391,0,0,0,0,-0.00038,702,-0.00038,702,-0.00153,2831,-0.00153,2831,-246,-246,0,0,-457,-457,-1862,-1862,18.64231,25.341,27.899,1.35933,1.10094,1.60215,1.30471,11264,14750
"44","E02002592 E02002593","E02002592","E02002593","Warrington 003","Warrington 004",136,1,4,110,10,0,0,8,1,2,0,0.73529,6.29,5.29,3.84,105.69,-4.31,1.88,0.88,3.98,109.28,-0.72,26.68,25.68,3.24,89.08,-20.92,41.22,40.22,2.81,77.24,-32.76,-0.00443,8211,-0.00372,6902,-0.00125,2313,-0.00054,1004,-0.01745,32369,-0.01674,31060,-0.01713,31772,-0.01642,30463,-2487,-2089,-747,-349,-10530,-10132,-16269,-15871,7.75628,9.524,11.046,1.22791,1.15981,1.56447,0.86004,4030,4510
"45","E02002592 E02002594","E02002592","E02002594","Warrington 003","Warrington 005",37,1,2,29,3,0,0,2,0,0,0,2.7027,2.09,1.09,1.94,28.12,-0.88,3.43,2.43,1.79,27.2,-1.8,4.99,3.99,1.8,25.74,-3.26,8.79,7.79,1.58,22.68,-6.32,-0.00174,3228,-0.00092,1715,-0.00255,4732,-0.00174,3219,-0.00389,7219,-0.00308,5706,-0.00463,8595,-0.00382,7082,-954,-520,-1490,-1056,-2382,-1948,-4201,-3767,8.94827,11.55,12.294,1.29075,1.06442,1.48918,1.04116,4970,5396
"46","E02002592 E02002595","E02002592","E02002595","Warrington 003","Warrington 006",77,4,11,52,6,0,0,3,0,0,1,5.19481,8.78,4.78,10.28,48.6,-3.4,9.71,5.71,9.94,48.08,-3.92,25.91,21.91,7.77,36.34,-15.66,32.64,28.64,6.74,31.55,-20.45,-0.00312,5794,-0.00173,3217,-0.00308,5720,-0.00169,3143,-0.00873,16203,-0.00734,13626,-0.00639,11845,-0.005,9268,-1964,-1080,-2130,-1246,-5861,-4977,-7384,-6500,4.39358,6.235,6.235,1.41912,1,0.91419,0.91419,2504,2504
"47","E02002592 E02002596","E02002592","E02002596","Warrington 003","Warrington 007",56,1,0,45,4,1,0,3,1,1,0,1.78571,3.43,2.43,0,42.99,-2.01,1,0,0,45,0,13.02,12.02,0,35.11,-9.89,19.11,18.11,0,30.15,-14.85,-0.00211,3920,-0.0015,2777,-0.00062,1143,0,0,-0.0075,13908,-0.00688,12765,-0.00723,13418,-0.00662,12275,-1175,-826,-349,0,-4421,-4072,-6466,-6117,6.42956,8.096,8.442,1.25919,1.04274,1.72925,0.75811,3446,3384
"48","E02002592 E02002597","E02002592","E02002597","Warrington 003","Warrington 008",38,2,1,28,1,0,0,4,1,1,0,5.26316,4.18,2.18,0.94,26.32,-1.68,7.14,5.14,0.78,24.65,-3.35,11.54,9.54,0.76,20.4,-7.6,15.06,13.06,0.66,17.69,-10.31,-0.00217,4017,-0.00114,2113,-0.00334,6195,-0.00231,4291,-0.00568,10528,-0.00465,8624,-0.00499,9261,-0.00397,7357,-1085,-610,-1698,-1223,-3236,-2761,-4223,-3748,5.5235,7.122,7.122,1.2894,1,0.84246,0.84246,2856,2856
"49","E02002592 E02002598","E02002592","E02002598","Warrington 003","Warrington 009",183,7,1,143,21,1,0,10,0,0,0,3.82514,20.52,13.52,0.92,132.02,-10.98,16.32,9.32,0.95,135.45,-7.55,77.33,70.33,0.59,85.81,-57.19,89.02,82.02,0.53,76.31,-66.69,-0.00593,10999,-0.0039,7236,-0.00439,8139,-0.00236,4376,-0.02129,39496,-0.01926,35733,-0.01804,33468,-0.01601,29705,-3230,-2138,-2562,-1470,-12232,-11140,-14083,-12991,3.08245,3.836,3.833,1.24447,0.99922,1.77268,1.77407,1782,1832
